"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1957,30.332,9240934,820.8530296
"Afghanistan","Asia",1962,31.997,10267083,853.10071
"Afghanistan","Asia",1967,34.02,11537966,836.1971382
"Afghanistan","Asia",1972,36.088,13079460,739.9811058
"Afghanistan","Asia",1977,38.438,14880372,786.11336
"Afghanistan","Asia",1982,39.854,12881816,978.0114388
"Afghanistan","Asia",1987,40.822,13867957,852.3959448
"Afghanistan","Asia",1992,41.674,16317921,649.3413952
"Afghanistan","Asia",1997,41.763,22227415,635.341351
"Afghanistan","Asia",2002,42.129,25268405,726.7340548
"Afghanistan","Asia",2007,43.828,31889923,974.5803384
"Algeria","Africa",1952,43.077,9279525,2449.008185
"Algeria","Africa",1957,45.685,10270856,3013.976023
"Algeria","Africa",1962,48.303,11000948,2550.81688
"Angola","Africa",1952,30.015,4232095,3520.610273
"Angola","Africa",1957,31.999,4561361,3827.940465
"Angola","Africa",1962,34,4826015,4269.276742
"Angola","Africa",1967,35.985,5247469,5522.776375
"Angola","Africa",1972,37.928,5894858,5473.288005
"Angola","Africa",1977,39.483,6162675,3008.647355
"Angola","Africa",1982,39.942,7016384,2756.953672
"Angola","Africa",1987,39.906,7874230,2430.208311
"Angola","Africa",1992,40.647,8735988,2627.845685
"Angola","Africa",1997,40.963,9875024,2277.140884
"Angola","Africa",2002,41.003,10866106,2773.287312
"Angola","Africa",2007,42.731,12420476,4797.231267
"Bangladesh","Asia",1952,37.484,46886859,684.2441716
"Bangladesh","Asia",1957,39.348,51365468,661.6374577
"Bangladesh","Asia",1962,41.216,56839289,686.3415538
"Bangladesh","Asia",1967,43.453,62821884,721.1860862
"Bangladesh","Asia",1972,45.252,70759295,630.2336265
"Bangladesh","Asia",1977,46.923,80428306,659.8772322
"Benin","Africa",1952,38.223,1738315,1062.7522
"Benin","Africa",1957,40.358,1925173,959.6010805
"Benin","Africa",1962,42.618,2151895,949.4990641
"Benin","Africa",1967,44.885,2427334,1035.831411
"Benin","Africa",1972,47.014,2761407,1085.796879
"Benin","Africa",1977,49.19,3168267,1029.161251
"Bolivia","Americas",1952,40.414,2883315,2677.326347
"Bolivia","Americas",1957,41.89,3211738,2127.686326
"Bolivia","Americas",1962,43.428,3593918,2180.972546
"Bolivia","Americas",1967,45.032,4040665,2586.886053
"Bolivia","Americas",1972,46.714,4565872,2980.331339
"Botswana","Africa",1952,47.622,442308,851.2411407
"Botswana","Africa",1957,49.618,474639,918.2325349
"Botswana","Africa",2002,46.634,1630347,11003.60508
"Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"Burkina Faso","Africa",1967,40.697,5127935,794.8265597
"Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"Burundi","Africa",1952,39.031,2445618,339.2964587
"Burundi","Africa",1957,40.533,2667518,379.5646281
"Burundi","Africa",1962,42.045,2961915,355.2032273
"Burundi","Africa",1967,43.548,3330989,412.9775136
"Burundi","Africa",1972,44.057,3529983,464.0995039
"Burundi","Africa",1977,45.91,3834415,556.1032651
"Burundi","Africa",1982,47.471,4580410,559.603231
"Burundi","Africa",1987,48.211,5126023,621.8188189
"Burundi","Africa",1992,44.736,5809236,631.6998778
"Burundi","Africa",1997,45.326,6121610,463.1151478
"Burundi","Africa",2002,47.36,7021078,446.4035126
"Burundi","Africa",2007,49.58,8390505,430.0706916
"Cambodia","Asia",1952,39.417,4693836,368.4692856
"Cambodia","Asia",1957,41.366,5322536,434.0383364
"Cambodia","Asia",1962,43.415,6083619,496.9136476
"Cambodia","Asia",1967,45.415,6960067,523.4323142
"Cambodia","Asia",1972,40.317,7450606,421.6240257
"Cambodia","Asia",1977,31.22,6978607,524.9721832
"Cameroon","Africa",1952,38.523,5009067,1172.667655
"Cameroon","Africa",1957,40.428,5359923,1313.048099
"Cameroon","Africa",1962,42.643,5793633,1399.607441
"Cameroon","Africa",1967,44.799,6335506,1508.453148
"Cameroon","Africa",1972,47.049,7021028,1684.146528
"Cameroon","Africa",1977,49.355,7959865,1783.432873
"Cameroon","Africa",2002,49.856,15929988,1934.011449
"Central African Republic","Africa",1952,35.463,1291695,1071.310713
"Central African Republic","Africa",1957,37.464,1392284,1190.844328
"Central African Republic","Africa",1962,39.475,1523478,1193.068753
"Central African Republic","Africa",1967,41.478,1733638,1136.056615
"Central African Republic","Africa",1972,43.457,1927260,1070.013275
"Central African Republic","Africa",1977,46.775,2167533,1109.374338
"Central African Republic","Africa",1982,48.295,2476971,956.7529907
"Central African Republic","Africa",1992,49.396,3265124,747.9055252
"Central African Republic","Africa",1997,46.066,3696513,740.5063317
"Central African Republic","Africa",2002,43.308,4048013,738.6906068
"Central African Republic","Africa",2007,44.741,4369038,706.016537
"Chad","Africa",1952,38.092,2682462,1178.665927
"Chad","Africa",1957,39.881,2894855,1308.495577
"Chad","Africa",1962,41.716,3150417,1389.817618
"Chad","Africa",1967,43.601,3495967,1196.810565
"Chad","Africa",1972,45.569,3899068,1104.103987
"Chad","Africa",1977,47.383,4388260,1133.98495
"Chad","Africa",1982,49.517,4875118,797.9081006
"China","Asia",1952,44,556263527,400.448611
"China","Asia",1962,44.50136,665770000,487.6740183
"Comoros","Africa",1952,40.715,153936,1102.990936
"Comoros","Africa",1957,42.46,170928,1211.148548
"Comoros","Africa",1962,44.467,191689,1406.648278
"Comoros","Africa",1967,46.472,217378,1876.029643
"Comoros","Africa",1972,48.944,250027,1937.577675
"Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257
"Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335
"Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424
"Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685
"Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"Congo, Rep.","Africa",1952,42.111,854885,2125.621418
"Congo, Rep.","Africa",1957,45.053,940458,2315.056572
"Congo, Rep.","Africa",1962,48.435,1047924,2464.783157
"Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732
"Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925
"Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"Djibouti","Africa",1952,34.812,63149,2669.529475
"Djibouti","Africa",1957,37.328,71851,2864.969076
"Djibouti","Africa",1962,39.693,89898,3020.989263
"Djibouti","Africa",1967,42.074,127617,3020.050513
"Djibouti","Africa",1972,44.366,178848,3694.212352
"Djibouti","Africa",1977,46.519,228694,3081.761022
"Djibouti","Africa",1982,48.812,305991,2879.468067
"Dominican Republic","Americas",1952,45.928,2491346,1397.717137
"Dominican Republic","Americas",1957,49.828,2923186,1544.402995
"Ecuador","Americas",1952,48.357,3548753,3522.110717
"Egypt","Africa",1952,41.893,22223309,1418.822445
"Egypt","Africa",1957,44.444,25009741,1458.915272
"Egypt","Africa",1962,46.992,28173309,1693.335853
"Egypt","Africa",1967,49.293,31681188,1814.880728
"El Salvador","Americas",1952,45.262,2042865,3048.3029
"El Salvador","Americas",1957,48.57,2355805,3421.523218
