ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Architect Dark Count I1 Average Exceeded,11111,ARCH_FEP_THRESHOLD_NUMBER,27000
Architect Dark Count I1 Average Exceeded,11111,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Architect Dark Count I1 Average Exceeded,11111,IHN_LEVEL3_DESC,Dark Count I1 Average Exceeded
Architect Dark Count I1 Average Exceeded,11111,THRESHOLD_DESCRIPTION,Dark Count I1 Average Exceeded
Architect Dark Count I1 Average Exceeded,11111,ARCH_FEP_THRESHOLD_NAME,I1
Architect Dark Count R1 Average Exceeded,11112,ARCH_FEP_THRESHOLD_NUMBER,27000
Architect Dark Count R1 Average Exceeded,11112,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Architect Dark Count R1 Average Exceeded,11112,IHN_LEVEL3_DESC,Dark Count R1 Average Exceeded
Architect Dark Count R1 Average Exceeded,11112,THRESHOLD_DESCRIPTI,ON,Dark Count R1 Average Exceeded
Architect Dark Count R1 Average Exceeded,11112,ARCH_FEP_THRESHOLD_NAME,R1
Architect Dark Count R2 Average Exceeded,11113,ARCH_FEP_THRESHOLD_NUMBER,27000
Architect Dark Count R2 Average Exceeded,11113,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Architect Dark Count R2 Average Exceeded,11113,IHN_LEVEL3_DESC,Dark Count R2 Average Exceeded
Architect Dark Count R2 Average Exceeded,11113,THRESHOLD_DESCRIPTION,Dark Count R2 Average Exceeded
Architect Dark Count R2 Average Exceeded,11113,ARCH_FEP_THRESHOLD_NAME,R2
Architect Dark Count SAMP Average Exceeded,11114,ARCH_FEP_THRESHOLD_NUMBER,27000
Architect Dark Count SAMP Average Exceeded,11114,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Architect Dark Count SAMP Average Exceeded,11114,IHN_LEVEL3_DESC,Dark Count SAMP Average Exceeded
Architect Dark Count SAMP Average Exceeded,11114,THRESHOLD_DESCRIPTION,Dark Count SAMP Average Exceeded
Architect Dark Count SAMP Average Exceeded,11114,ARCH_FEP_THRESHOLD_NAME,SAMP
Architect Dark Count STATSAMP Average Exceeded,11115,ARCH_FEP_THRESHOLD_NUMBER,27000
Architect Dark Count STATSAMP Average Exceeded,11115,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Architect Dark Count STATSAMP Average Exceeded,11115,IHN_LEVEL3_DESC,Dark Count STATSAMP Average Exceeded
Architect Dark Count STATSAMP Average Exceeded,11115,THRESHOLD_DESCRIPTION,Dark Count STATSAMP Average Exceeded
Architect Dark Count STATSAMP Average Exceeded,11115,ARCH_FEP_THRESHOLD_NAME,STATSAMP
