ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity IA ITV R1 PWM,11111,IHN_LEVEL3_DESC,Alinity IA ITV R1 PWM
Alinity IA ITV R1 PWM,11111,I_ITV_THRESHOLD_ACTSPD,600
Alinity IA ITV R1 PWM,11111,I_ITV_THRESHOLD_ITVMECHNAME,Reagent1Itv1Mechanism
Alinity IA ITV R1 PWM,11111,I_ITV_THRESHOLD_MEANPWM,725
Alinity IA ITV R1 PWM,11111,I_ITV_THRESHOLD_REQSPD,1502
Alinity IA ITV R1 PWM,11111,THRESHOLDS_COUNT,1
Alinity IA ITV R1 PWM,11111,THRESHOLD_DESCRIPTION,Alinity IA ITV R1 PWM

Alinity IA ITV R2 PWM,11112,IHN_LEVEL3_DESC,Alinity IA ITV R2 PWM
Alinity IA ITV R2 PWM,11112,I_ITV_THRESHOLD_ACTSPD,600
Alinity IA ITV R2 PWM,11112,I_ITV_THRESHOLD_ITVMECHNAME,Reagent2Itv2Mechanism
Alinity IA ITV R2 PWM,11112,I_ITV_THRESHOLD_MEANPWM,795
Alinity IA ITV R2 PWM,11112,I_ITV_THRESHOLD_REQSPD,1502
Alinity IA ITV R2 PWM,11112,THRESHOLDS_COUNT,1
Alinity IA ITV R2 PWM,11112,THRESHOLD_DESCRIPTION,Alinity IA ITV R2 PWM

Alinity IA ITV Pretreatment PWM,11113,IHN_LEVEL3_DESC,Alinity IA ITV Pretreatment PWM
Alinity IA ITV Pretreatment PWM,11113,I_ITV_THRESHOLD_ACTSPD,600
Alinity IA ITV Pretreatment PWM,11113,I_ITV_THRESHOLD_ITVMECHNAME,PretreatItv3Mechanism
Alinity IA ITV Pretreatment PWM,11113,I_ITV_THRESHOLD_MEANPWM,900
Alinity IA ITV Pretreatment PWM,11113,I_ITV_THRESHOLD_REQSPD,1502
Alinity IA ITV Pretreatment PWM,11113,THRESHOLDS_COUNT,1
Alinity IA ITV Pretreatment PWM,11113,THRESHOLD_DESCRIPTION,Alinity IA ITV Pretreatment PWM

Alinity IA ITV Pretrigger PWM,11114,IHN_LEVEL3_DESC,Alinity IA ITV Pretrigger PWM
Alinity IA ITV Pretrigger PWM,11114,I_ITV_THRESHOLD_ACTSPD,600
Alinity IA ITV Pretrigger PWM,11114,I_ITV_THRESHOLD_ITVMECHNAME,PretriggerItv4Mechanism
Alinity IA ITV Pretrigger PWM,11114,I_ITV_THRESHOLD_MEANPWM,735
Alinity IA ITV Pretrigger PWM,11114,I_ITV_THRESHOLD_REQSPD,1502
Alinity IA ITV Pretrigger PWM,11114,THRESHOLDS_COUNT,1
Alinity IA ITV Pretrigger PWM,11114,THRESHOLD_DESCRIPTION,Alinity IA ITV Pretrigger PWM
