ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COMPLETIONDATE",6,,,"N","DATE",,"None",26638752,0,0,,,,False
"DREAM_ID",1,,,"N","INTEGER",,"None",82908935,0,0,,,,False
"DREAM_TYPE",10,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
"FILENAME",12,,,"Y","VARCHAR2 (400 Byte)",,"None",46107,0,2E-5,,,,False
"INSTANCEID",5,,,"Y","NUMBER",,"None",17,0,0.05882,,,,False
"LAYOUT_NODES_ID",2,,"1","N","INTEGER",,"Height Balanced",1340,0,0,,,,False
"LOADDATE",11,,,"N","DATE",,"None",44882,0,2E-5,,,,False
"MESSAGE",9,,,"Y","VARCHAR2 (482 Byte)",,"None",5686392,0,0,,,,False
"NODEID",3,,"3","Y","NUMBER",,"Frequency",47,0,0,,,,False
"NODETYPE",4,,"2","Y","VARCHAR2 (5 Byte)",,"Frequency",21,0,0,,,,False
"RECEIVER",8,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
"SENDER",7,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
