ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COMPLETIONDATE",6,,,"N","DATE",,"None",34527608,0,0,,,,False
"FILENAME",12,,,"Y","VARCHAR2 (400 Byte)",,"None",136959,0,1E-5,,,,False
"INSTANCEID",5,,,"Y","NUMBER",,"None",1,0,1,,,,False
"LAYOUT_NODES_ID",2,,"1","N","INTEGER",,"Frequency",192,0,0,,,,False
"LIS_ID",1,,,"N","INTEGER",,"None",778144513,0,0,,,,False
"LIS_TYPE",10,,,"Y","VARCHAR2 (50 Byte)",,"None",1,0,1,,,,False
"LOADDATE",11,,,"N","DATE",,"None",105658,0,1E-5,,,,False
"MESSAGE",9,,,"Y","VARCHAR2 (2000 Byte)",,"None",735714816,0,0,,,,False
"NODEID",3,,"3","Y","NUMBER",,"Frequency",1,0,0,,,,False
"NODETYPE",4,,"2","Y","VARCHAR2 (5 Byte)",,"Frequency",1,0,0,,,,False
"RECEIVER",8,,,"Y","VARCHAR2 (50 Byte)",,"None",3,0,0.33333,,,,False
"SENDER",7,,,"Y","VARCHAR2 (1000 Byte)",,"None",3,0,0.33333,,,,False
