PRODUCT_FAMILY,RUN_DATE,BATCH_NUM,PROCESSID,PHM_ALGORITHM_DEFINITIONS_SK,PHM_THRESHOLDS_SK,DEVICE_ID,MODULE_SN,NODETYPE,ERRORCODE,NODEID,INSTANCEID,FLAG_DATE,TESTCOUNT,ERRORCOUNT,ERRORPCT,MAX_DATE_VALUE,COMPLETION_DT_MS,CREATED_BY,DATE_CREATED,UNIX_ID,PL
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S01","ISR","504C","6","1",7/28/2019,0,0,0,7/28/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S03","ISR","504C","8","3",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S03","ISR","504C","8","3",7/27/2019,0,0,0,7/27/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S03","ISR","504C","8","3",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S03","ISR","504C","8","3",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"210400","ACP275i2S03","ISR","504C","8","3",7/28/2019,0,0,0,7/28/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S02","ISR","504C","11","2",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S02","ISR","504C","11","2",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S02","ISR","504C","11","2",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S01","ISR","504C","10","1",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S01","ISR","504C","10","1",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S01","ISR","504C","10","1",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"160872","ACP033i2S01","ISR","504C","7","1",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"160872","ACP033i2S01","ISR","504C","7","1",7/27/2019,0,0,0,7/27/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"160872","ACP033i2S01","ISR","504C","7","1",7/28/2019,0,0,0,7/28/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:41 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S03","ISR","504C","12","3",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S03","ISR","504C","12","3",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,215,"209589","ACP175i2S03","ISR","504C","12","3",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S02","ISR","504E","7","2",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S02","ISR","504E","7","2",7/28/2019,0,0,0,7/28/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S02","ISR","504E","7","2",7/27/2019,0,0,0,7/27/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S02","ISR","504E","7","2",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S02","ISR","504E","7","2",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:42 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S01","ISR","504E","6","1",7/29/2019,0,0,0,7/29/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S01","ISR","504E","6","1",7/30/2019,0,0,0,7/30/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S01","ISR","504E","6","1",7/27/2019,0,0,0,7/27/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S01","ISR","504E","6","1",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S01","ISR","504E","6","1",7/28/2019,0,0,0,7/28/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S03","ISR","504E","8","3",7/31/2019,0,0,0,7/31/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
"A3600",7/31/2019,"BTH2200",4491190,1040,218,"210400","ACP275i2S03","ISR","504E","8","3",7/27/2019,0,0,0,7/27/2019 12:00:01 AM,0,"A3600-SYS",7/31/2019 10:05:43 PM,"NULL","857"
