"DEVICEID","SYSTEMSN","PL","SN","FLAG_DATE","NODETYPE","ERRORCODE","NODEID","INSTANCEID","TUBES_TODAY","MAX_COMPL_DATE","ERROR_COUNT","ERROR_PERCENTAGE"
137800,"ACP021","851","ACP021CCM01","2019-08-22 00:00:00.0","CM","0665",2,1,620,"2019-08-22 08:13:20.0",3,0.48
137800,"ACP021","851","ACP021CCM01","2019-08-21 00:00:00.0","CM","0665",2,1,702,"2019-08-21 08:31:10.0",3,0.42
129435,"ACP007","857","ACP007i2s01","2019-08-21 00:00:00.0","ISR","501E",8,1,380,"2019-08-21 08:26:22.0",10,2.63
129435,"ACP007","857","ACP007i2s01","2019-08-22 00:00:00.0","ISR","501E",8,1,304,"2019-08-22 08:11:43.0",2,0.65
134283,"ACP015","857","ACP015I2S02","2019-08-21 00:00:00.0","ISR","501E",13,2,230,"2019-08-21 15:50:02.0",2,0.86
134283,"ACP015","857","ACP015I2S03","2019-08-21 00:00:00.0","ISR","501E",15,3,248,"2019-08-21 11:29:25.0",1,0.4
134283,"ACP015","857","ACP015I2S05","2019-08-21 00:00:00.0","ISR","501E",23,5,245,"2019-08-21 16:03:23.0",1,0.4
131993,"ACP027","857","ACP027I2S01","2019-08-21 00:00:00.0","ISR","501E",7,1,435,"2019-08-21 17:51:19.0",6,1.37
138220,"ACP039","857","ACP039i2s05","2019-08-20 00:00:00.0","ISR","501E",7,5,99,"2019-08-20 13:19:55.0",5,5.05
138220,"ACP039","857","ACP039i2s05","2019-08-21 00:00:00.0","ISR","501E",7,5,107,"2019-08-21 10:29:39.0",23,21.49
173262,"ACP077","857","ACP077I2S01","2019-08-21 00:00:00.0","ISR","501E",8,1,1086,"2019-08-21 03:01:27.0",16,1.47
173262,"ACP077","857","ACP077I2S01","2019-08-20 00:00:00.0","ISR","501E",8,1,1004,"2019-08-20 22:53:39.0",6,0.59
173262,"ACP077","857","ACP077I2S01","2019-08-19 00:00:00.0","ISR","501E",8,1,662,"2019-08-19 17:02:59.0",8,1.2
173262,"ACP077","857","ACP077I2S09","2019-08-21 00:00:00.0","ISR","501E",17,9,1207,"2019-08-21 23:47:37.0",2,0.16
210386,"ACP111","857","ACP111i2S04","2019-08-20 00:00:00.0","ISR","501E",9,4,116,"2019-08-20 08:13:10.0",1,0.86
210386,"ACP111","857","ACP111i2S04","2019-08-21 00:00:00.0","ISR","501E",9,4,170,"2019-08-21 08:02:12.0",2,1.17
193897,"ACP125","857","ACP125I2S03","2019-08-21 00:00:00.0","ISR","501E",8,3,211,"2019-08-21 12:47:27.0",1,0.47
209589,"ACP175","857","ACP175i2S02","2019-08-22 00:00:00.0","ISR","501E",11,2,13,"2019-08-22 11:31:08.0",2,15.38
209589,"ACP175","857","ACP175i2S02","2019-08-21 00:00:00.0","ISR","501E",11,2,27,"2019-08-21 12:04:43.0",3,11.11
131993,"ACP027","857","ACP027I2S01","2019-08-20 00:00:00.0","ISR","501F",7,1,356,"2019-08-20 19:12:29.0",7,1.96
131993,"ACP027","857","ACP027I2S01","2019-08-21 00:00:00.0","ISR","501F",7,1,435,"2019-08-21 17:51:16.0",4,0.91
138220,"ACP039","857","ACP039i2s05","2019-08-21 00:00:00.0","ISR","501F",7,5,107,"2019-08-21 10:29:00.0",2,1.86
180236,"ACP083","857","ACP083I2S09","2019-08-21 00:00:00.0","ISR","501F",18,9,839,"2019-08-21 01:56:13.0",1,0.11
195857,"ACP150","857","ACP150S05","2019-08-22 00:00:00.0","ISR","501F",12,5,194,"2019-08-22 15:39:10.0",1,0.51
