ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"ACTIONFLAG",16,,,"Y","VARCHAR2 (4 Byte)",,"None",1,315,1,,,,False
"AREA",12,,,"Y","VARCHAR2 (500 Byte)",,"None",6,0,0.16667,,,,False
"AREAREGION",13,,,"Y","VARCHAR2 (500 Byte)",,"None",10,0,0.1,,,,False
"CITY",9,,,"Y","VARCHAR2 (500 Byte)",,"None",202,7,0.00495,,,,False
"COUNTRYCODE",10,,,"Y","VARCHAR2 (500 Byte)",,"None",42,0,0.02381,,,,False
"COUNTRYNAME",11,,,"Y","VARCHAR2 (500 Byte)",,"None",42,0,0.02381,,,,False
"CREATEDATE",17,,,"Y","TIMESTAMP(6)",,"None",332,0,0.00301,,,,False
"CURRENT_ROW",15,,,"Y","CHAR (1 Char)",,"Frequency",2,0,0.00151,,,,False
"CUSTOMERINFOID",1,1,"1","N","NUMBER",,"Height Balanced",606,0,0.00165,,,,False
"CUSTOMERNAME",8,,,"Y","VARCHAR2 (500 Byte)",,"None",255,0,0.00392,,,,False
"CUSTOMERNUMBER",7,,,"Y","VARCHAR2 (250 Char)",,"None",151,148,0.00662,,,,False
"EFFECTIVEFROMDATE",3,,,"N","DATE",,"None",115,0,0.0087,,,,False
"EFFECTIVETODATE",4,,,"N","DATE",,"None",111,0,0.00901,,,,False
"INSTALL_DATE",19,,,"Y","DATE",,"None",107,203,0.00935,,,,False
"IS_CUSTOMER",14,,,"Y","CHAR (1 Char)",,"Frequency",2,0,0.00151,,,,False
"MODULESNREF",5,,,"N","VARCHAR2 (100 Byte)",,"None",315,0,0.00317,,,,False
"PRODUCTLINEREF",6,,,"N","VARCHAR2 (100 Byte)",,"Frequency",1,0,0.00151,,,,False
"SYSTEMSN",2,,"1","N","VARCHAR2 (500 Byte)",,"Height Balanced",486,0,0.00222,,,,False
"UPDATEDATE",18,,,"Y","TIMESTAMP(6)",,"None",332,0,0.00301,,,,False
