a3600_deviceid,a3600_iom_serial_uc,a3600_productline,a3600_serialnumber_uc,flag_date,a3600_nodetype,errorcode,a3600_nodeid,a3600_layoutinstance,tubestoday,max_compl_date,error_count,error_percentage
124679,ACP002,852,ACP002DEC01,2019-10-23 00:00:00,DCM,1006,06,1,5,2019-10-23 12:10:08,2,40
124679,ACP002,852,ACP002DEC01,2019-10-23 00:00:00,DCM,1006,06,1,1396,2019-10-23 12:10:08,2,0.14326647564469913
124679,ACP002,852,ACP002DEC01,2019-10-24 00:00:00,DCM,1006,06,1,1310,2019-10-24 04:41:00,2,0.15267175572519084
124679,ACP002,852,ACP002DEC01,2019-10-24 00:00:00,DCM,1006,06,1,8,2019-10-24 04:41:00,2,25
134283,ACP015,852,ACP015DEC02,2019-10-23 00:00:00,DCM,1006,12,2,6,2019-10-23 11:26:20,2,33.333333333333336
134283,ACP015,852,ACP015DEC02,2019-10-23 00:00:00,DCM,1006,12,2,1766,2019-10-23 11:26:20,2,0.11325028312570781
134283,ACP015,852,ACP015DEC02,2019-10-24 00:00:00,DCM,1006,12,2,1796,2019-10-24 17:29:37,2,0.111358574610245
134283,ACP015,852,ACP015DEC02,2019-10-24 00:00:00,DCM,1006,12,2,7,2019-10-24 17:29:37,2,28.571428571428573
131993,ACP027,852,ACP027DEC01,2019-10-24 00:00:00,DCM,1006,6,1,2810,2019-10-24 18:33:29,11,0.3914590747330961
131993,ACP027,852,ACP027DEC01,2019-10-24 00:00:00,DCM,1006,6,1,16,2019-10-24 18:33:29,11,68.75
135077,ACP032,852,ACP032DEC01,2019-10-23 00:00:00,DCM,1006,02,1,783,2019-10-23 21:09:05,16,2.0434227330779056
135077,ACP032,852,ACP032DEC01,2019-10-24 00:00:00,DCM,1006,02,1,786,2019-10-24 16:37:36,18,2.2900763358778624
132622,ACP036,852,ACP036DEC01,2019-10-23 00:00:00,DCM,1006,4,1,734,2019-10-23 07:34:45,2,0.2724795640326976
132622,ACP036,852,ACP036DEC01,2019-10-24 00:00:00,DCM,1006,4,1,324,2019-10-24 07:29:45,2,0.6172839506172839
141336,ACP045,852,ACP045DEC01,2019-10-23 00:00:00,DCM,1006,05,1,3259,2019-10-23 20:36:34,2,0.0613685179502915
141336,ACP045,852,ACP045DEC01,2019-10-23 00:00:00,DCM,1006,05,1,3257,2019-10-23 20:36:34,2,0.06140620202640467
141336,ACP045,852,ACP045DEC01,2019-10-24 00:00:00,DCM,1006,05,1,3150,2019-10-24 19:29:43,12,0.38095238095238093
146274,ACP049,852,ACP049DEC01,2019-10-23 00:00:00,DCM,1006,03,1,777,2019-10-23 16:19:53,2,0.2574002574002574
146274,ACP049,852,ACP049DEC01,2019-10-24 00:00:00,DCM,1006,03,1,761,2019-10-24 10:13:28,6,0.7884362680683311
151412,ACP060,,,2019-10-23 00:00:00,DCM,1006,4,1,675,2019-10-23 10:25:24,4,0.5925925925925926
151412,ACP060,,,2019-10-23 00:00:00,DCM,1006,4,1,672,2019-10-23 10:25:24,4,0.5952380952380952
151035,ACP061,852,ACP061DEC01,2019-10-24 00:00:00,DCM,1006,05,1,2336,2019-10-24 19:25:23,2,0.08561643835616438
151035,ACP061,852,ACP061DEC01,2019-10-24 00:00:00,DCM,1006,05,1,12,2019-10-24 19:25:23,2,16.666666666666668
164364,ACP064,852,ACP064DEC01,2019-10-23 00:00:00,DCM,1006,4,1,1117,2019-10-23 09:19:53,96,8.594449418084155
164364,ACP064,852,ACP064DEC01,2019-10-24 00:00:00,DCM,1006,4,1,1155,2019-10-24 17:21:29,24,2.0779220779220777
164364,ACP064,852,ACP064DEC01,2019-10-24 00:00:00,DCM,1006,4,1,12,2019-10-24 17:21:29,24,200
159233,ACP069,852,ACP069DEC01,2019-10-23 00:00:00,DCM,1006,04,1,119,2019-10-23 20:54:54,6,5.042016806722689
159233,ACP069,852,ACP069DEC01,2019-10-23 00:00:00,DCM,1006,04,1,1378,2019-10-23 20:54:54,6,0.43541364296081275
159233,ACP069,852,ACP069DEC01,2019-10-24 00:00:00,DCM,1006,04,1,1388,2019-10-24 18:46:05,2,0.1440922190201729
159233,ACP069,852,ACP069DEC01,2019-10-24 00:00:00,DCM,1006,04,1,103,2019-10-24 18:46:05,2,1.941747572815534
164954,ACP071,852,ACP071DEC01,2019-10-24 00:00:00,DCM,1006,5,1,950,2019-10-24 10:09:52,4,0.42105263157894735
166452,ACP080,852,ACP080DEC01,2019-10-23 00:00:00,DCM,1006,03,1,738,2019-10-23 11:51:44,28,3.794037940379404
166452,ACP080,852,ACP080DEC01,2019-10-24 00:00:00,DCM,1006,03,1,658,2019-10-24 10:54:18,14,2.127659574468085
180236,ACP083,852,ACP083DEC01,2019-10-24 00:00:00,DCM,1006,2,1,5849,2019-10-24 23:40:33,48,0.8206531030945461
180236,ACP083,852,ACP083DEC01,2019-10-24 00:00:00,DCM,1006,2,1,1130,2019-10-24 23:40:33,48,4.247787610619469
180236,ACP083,852,ACP083DEC03,2019-10-24 00:00:00,DCM,1006,4,3,889,2019-10-24 18:05:52,2,0.2249718785151856
180236,ACP083,852,ACP083DEC03,2019-10-24 00:00:00,DCM,1006,4,3,4208,2019-10-24 18:05:52,2,0.04752851711026616
166465,ACP092,852,ACP092DEC01,2019-10-24 00:00:00,DCM,1006,06,1,1235,2019-10-24 12:06:30,2,0.16194331983805668
166465,ACP092,852,ACP092DEC01,2019-10-24 00:00:00,DCM,1006,06,1,38,2019-10-24 12:06:30,2,5.2631578947368425
168140,ACP096,852,ACP096DEC01,2019-10-24 00:00:00,DCM,1006,30,1,797,2019-10-24 10:13:34,2,0.25094102885821834
168140,ACP096,852,ACP096DEC02,2019-10-24 00:00:00,DCM,1006,31,2,104,2019-10-24 08:25:08,2,1.9230769230769231
170635,ACP101,852,ACP101DEC01,2019-10-23 00:00:00,DCM,1006,2,1,2074,2019-10-23 17:30:00,2,0.09643201542912247
170635,ACP101,852,ACP101DEC01,2019-10-24 00:00:00,DCM,1006,2,1,2034,2019-10-24 19:24:35,18,0.8849557522123894
183236,ACP115,852,ACP115DEC01,2019-10-24 00:00:00,DCM,1006,03,1,1184,2019-10-24 19:22:11,2,0.16891891891891891
196241,ACP119,852,ACP119DEC01,2019-10-24 00:00:00,DCM,1006,04,1,1470,2019-10-24 17:05:38,4,0.272108843537415
196241,ACP119,852,ACP119DEC01,2019-10-24 00:00:00,DCM,1006,04,1,54,2019-10-24 17:05:38,4,7.407407407407407
183483,ACP128,852,ACP128DEC01,2019-10-24 00:00:00,DCM,1006,07,1,1665,2019-10-24 14:44:03,2,0.12012012012012012
183483,ACP128,852,ACP128DEC01,2019-10-24 00:00:00,DCM,1006,07,1,86,2019-10-24 14:44:03,2,2.3255813953488373
183483,ACP128,852,ACP128DEC02,2019-10-23 00:00:00,DCM,1006,08,2,165,2019-10-23 16:12:33,2,1.2121212121212122
