BATCH_NUM,CITY,COUNTRY,CREATED_BY,CUSTOMER,CUSTOMER_NUMBER,DATE_CREATED,DEVICE_ID,DEVICE_VALUE,EXPERIENCE_CODE,FLAG_DATE,FLAG_YN,IHN_LEVEL3_DESC,IS_MANUAL_EXEC,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PHM_PRODUCT_LINE_CODE,PHM_THRESHOLDS_SK,PROCESSID,PRODUCT_FAMILY,REMARKS,RUN_DATE,SN,DUMMY
"BTH1400","Asia Pacific","SOUTH KOREA","A3600 ALGORITHM","U2BIO Lab (SLI Clinic, ??????????)","060625-0",10/24/2019 3:24:13 PM,"195857",8,"C9B1",10/24/2019 11:59:23 PM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","6,3",10/24/2019,"ACP150DEC03",
"BTH1400","China","CHINA","A3600 ALGORITHM","??????(??)(?:???????)","11082-0",10/24/2019 3:24:47 PM,"208633",5,"C965",10/24/2019 7:26:33 PM,"YES","Pass Error - Empty Carrier Divert Gate IOM 0424","N",1040,123,840,250,5407624,"A3600","1,1",10/24/2019,"ACP281",
"BTH1400","China","CHINA","A3600 ALGORITHM","????????????","27459-1",10/24/2019 3:25:42 PM,"171735",933.33,"C7Y2",10/24/2019 5:56:56 PM,"YES","Unreadable Sample ID SRM 0E05","N",1040,138,866,104,5407624,"A3600","10,1",10/24/2019,"ACP078SRM01",
"BTH1400","Asia Pacific","HONG KONG","A3600 ALGORITHM","PAMELA YOUDE EASTERN","601990-0",10/24/2019 3:25:14 PM,"196237",12,"C942",10/24/2019 5:32:43 PM,"YES","Tube Drop Failure SRM 0FFA","N",1040,161,854,90,5407624,"A3600","18,1",10/24/2019,"ACP177SRM01",
"BTH1400","China","CHINA","A3600 ALGORITHM","????????????","13501-0",10/24/2019 3:23:19 PM,"195268",21,"C921",10/24/2019 5:12:51 PM,"YES","Carrier Run Away IOM 8018","N",1040,228,840,144,5407624,"A3600","1,1",10/24/2019,"ACP170",
"BTH1400","China","CHINA","A3600 ALGORITHM","???????????","23507-0",10/24/2019 3:25:04 PM,"187840",1,"C917",10/24/2019 3:25:43 PM,"YES","Sample Presentation Error and Level Sense Error C16 7087","N",1040,179,855,185,5407624,"A3600","5,2",10/24/2019,"ACP158C8002",
"BTH1400","China","CHINA","A3600 ALGORITHM","??????????","28863-1",10/24/2019 3:23:55 PM,"194377",279,"C9B1",10/24/2019 2:12:03 PM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","3,1",10/24/2019,"ACP201DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","??????????","27480-0",10/24/2019 3:23:58 PM,"206823",44,"C9B1",10/24/2019 2:10:48 PM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","2,1",10/24/2019,"ACP210DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","?????????","19684-0",10/24/2019 3:23:37 PM,"210444",32,"C9AD",10/24/2019 1:05:48 PM,"YES","Foil Lost SM 9097","N",1040,182,853,160,5407624,"A3600","11,1",10/24/2019,"ACP269RES01",
"BTH1400","China","CHINA","A3600 ALGORITHM","????????????????????","17176-0",10/24/2019 3:25:56 PM,"190560",30,"C7Y2",10/24/2019 12:42:30 PM,"YES","Unreadable Sample ID SRM 0E05","N",1040,138,854,104,5407624,"A3600","10,1",10/24/2019,"ACP166SRM01",
"BTH1400","China","CHINA","A3600 ALGORITHM","?????????","19684-0",10/24/2019 3:22:54 PM,"210444",5,"C95L",10/24/2019 12:19:14 PM,"YES","Axis Z Down Failure SRM 0EBB","N",1040,113,854,207,5407624,"A3600","12,1",10/24/2019,"ACP269SRM01",
"BTH1400","China","CHINA","A3600 ALGORITHM","???????????","27673-0",10/24/2019 3:23:48 PM,"194532",22,"C9B1",10/24/2019 12:04:17 PM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","4,1",10/24/2019,"ACP183DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","????????? ????","27749-0",10/24/2019 3:23:35 PM,"175038",2,"C9AD",10/24/2019 11:37:45 AM,"YES","Foil Lost SM 9097","N",1040,182,853,160,5407624,"A3600","24,2",10/24/2019,"ACP023RES02",
"BTH1400","Asia Pacific","TAIWAN","A3600 ALGORITHM","????????????????????","530517-530517",10/24/2019 3:23:23 PM,"195833",27,"C921",10/24/2019 11:20:16 AM,"YES","Carrier Run Away IOM 8018","N",1040,228,840,144,5407624,"A3600","1,1",10/24/2019,"ACP186",
"BTH1400","China","CHINA","A3600 ALGORITHM","?????????????","25789-0",10/24/2019 3:24:03 PM,"166452",14,"C9B1",10/24/2019 10:54:18 AM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","3,1",10/24/2019,"ACP080DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","??????????","19035-0",10/24/2019 3:23:21 PM,"193386",53,"C921",10/24/2019 10:45:08 AM,"YES","Carrier Run Away IOM 8018","N",1040,228,840,144,5407624,"A3600","1,1",10/24/2019,"ACP105",
"BTH1400","China","CHINA","A3600 ALGORITHM","??????????","28863-1",10/24/2019 3:24:20 PM,"194377",2,"C9B2",10/24/2019 9:48:26 AM,"YES","Head Up Failure DCM 108A","N",1040,191,852,165,5407624,"A3600","3,1",10/24/2019,"ACP201DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","?????????","19684-0",10/24/2019 3:24:10 PM,"210444",4,"C9B1",10/24/2019 9:39:30 AM,"YES","Head Down Failure DCM 1006","N",1040,186,852,161,5407624,"A3600","4,1",10/24/2019,"ACP269DEC01",
"BTH1400","China","CHINA","A3600 ALGORITHM","????????? ????","27749-0",10/24/2019 3:23:41 PM,"175038",2,"C9AD",10/24/2019 9:20:12 AM,"YES","Foil Lost SM 9097","N",1040,182,853,160,5407624,"A3600","23,1",10/24/2019,"ACP023RES01",
"BTH1400","China","CHINA","A3600 ALGORITHM","?????????","19684-0",10/24/2019 3:25:36 PM,"210444",6.45,"C7Y2",10/24/2019 6:51:16 AM,"YES","Unreadable Sample ID SRM 0E05","N",1040,138,854,104,5407624,"A3600","12,1",10/24/2019,"ACP269SRM01",
"BTH1200","Latin America","CANADA","A3600 ALGORITHM","LIFELABS MEDICAL LAB - KRL","0056663503",10/24/2019 1:04:38 PM,"180236",495,"C921",10/23/2019 11:58:20 PM,"YES","Carrier Run Away IOM 8018","N",1040,228,840,144,5406657,"A3600","44,2",10/24/2019,"ACP083",
"BTH0600","Europe","SWEDEN","A3600 ALGORITHM","SUNDERBY SJUKHUS","5000101-0",10/24/2019 6:15:42 AM,"208176",17,"C921",10/23/2019 11:56:43 PM,"YES","Carrier Run Away IOM 8018","N",1040,228,840,144,5403185,"A3600","1,1",10/24/2019,"ACP178",
"BTH1200","North America","USA","A3600 ALGORITHM","UNIVERSITY VIRGINIA","0050375336",10/24/2019 1:06:49 PM,"177255",21,"C942",10/23/2019 11:44:00 PM,"YES","Tube Drop Failure SRM 0FFA","N",1040,161,854,90,5406657,"A3600","15,1",10/24/2019,"ACP120SRM01",
"BTH1200","Latin America","CANADA","A3600 ALGORITHM","LIFELABS MEDICAL LAB - KRL","0056663503",10/24/2019 1:07:35 PM,"180236",15.19,"C7Y3",10/23/2019 11:36:43 PM,"YES","Unreadable Sample ID ISR 5015","N",1040,130,857,103,5406657,"A3600","20,11",10/24/2019,"ACP083I2S11",
