ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
LAS8: Error 302,10240,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 302,10240,IHN_LEVEL3_DESC,LAS8: Error 302
LAS8: Error 302,10240,ALGORITHM_TYPE,COUNT
LAS8: Error 302,10240,ERROR_COUNT,2
LAS8: Error 302,10240,ERROR_CODE_REG_EXPR,LAS8: Error 302
LAS8: Error 302,10240,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 302,10240,THRESHOLDS_DAYS,2
LAS8: Error 302,10240,THRESHOLD_DATA_DAYS,
LAS8: Error 311,10241,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 311,10241,IHN_LEVEL3_DESC,LAS8: Error 311
LAS8: Error 311,10241,ALGORITHM_TYPE,COUNT
LAS8: Error 311,10241,ERROR_COUNT,2
LAS8: Error 311,10241,ERROR_CODE_REG_EXPR,LAS8: Error 311
LAS8: Error 311,10241,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 311,10241,THRESHOLDS_DAYS,2
LAS8: Error 311,10241,THRESHOLD_DATA_DAYS,
LAS8: Error 312,10242,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 312,10242,IHN_LEVEL3_DESC,LAS8: Error 312
LAS8: Error 312,10242,ALGORITHM_TYPE,COUNT
LAS8: Error 312,10242,ERROR_COUNT,2
LAS8: Error 312,10242,ERROR_CODE_REG_EXPR,LAS8: Error 312
LAS8: Error 312,10242,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 312,10242,THRESHOLDS_DAYS,2
LAS8: Error 312,10242,THRESHOLD_DATA_DAYS,
LAS8: Error 317,10243,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 317,10243,IHN_LEVEL3_DESC,LAS8: Error 317
LAS8: Error 317,10243,ALGORITHM_TYPE,COUNT
LAS8: Error 317,10243,ERROR_COUNT,2
LAS8: Error 317,10243,ERROR_CODE_REG_EXPR,LAS8: Error 317
LAS8: Error 317,10243,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 317,10243,THRESHOLDS_DAYS,2
LAS8: Error 317,10243,THRESHOLD_DATA_DAYS,
LAS8: Error 318,10244,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 318,10244,IHN_LEVEL3_DESC,LAS8: Error 318
LAS8: Error 318,10244,ALGORITHM_TYPE,COUNT
LAS8: Error 318,10244,ERROR_COUNT,2
LAS8: Error 318,10244,ERROR_CODE_REG_EXPR,LAS8: Error 318
LAS8: Error 318,10244,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 318,10244,THRESHOLDS_DAYS,2
LAS8: Error 318,10244,THRESHOLD_DATA_DAYS,
LAS8: Error 325,10245,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 325,10245,IHN_LEVEL3_DESC,LAS8: Error 325
LAS8: Error 325,10245,ALGORITHM_TYPE,COUNT
LAS8: Error 325,10245,ERROR_COUNT,2
LAS8: Error 325,10245,ERROR_CODE_REG_EXPR,LAS8: Error 325
LAS8: Error 325,10245,THRESHOLD_DESCRIPTION,2/day - 2 consecutive days
LAS8: Error 325,10245,THRESHOLDS_DAYS,2
LAS8: Error 325,10245,THRESHOLD_DATA_DAYS,
LAS8: Error 326,10246,THRESHOLD_TYPE,CONSECUTIVE
LAS8: Error 326,10246,IHN_LEVEL3_DESC,LAS8: Error 326
LAS8: Error 326,10246,ALGORITHM_TYPE,COUNT
LAS8: Error 326,10246,ERROR_COUNT,2
