SN,IHN_LEVEL3_DESC,RUN_DATE,CREATED_BY,PHM_PRODUCT_LINE_CODE,EXPERIENCE_CODE,DEVICE_VALUE
I202363,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,115,A634,"28,986"
I202363,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,115,A634,"28,996"
I202781,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,115,A632,"28,058"
ISR01335,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"36,388"
ISR02828,FE Pressure STATSAMP Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A633,"36,370"
ISR03647,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"29,392"
ISR04032,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"28,239"
ISR04032,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"28,772"
ISR04745,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"36,378"
ISR04745,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"36,380"
ISR06330,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"36,354"
ISR06330,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"36,356"
ISR07125,FE Pressure STATSAMP Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A633,"36,374"
ISR07438,FE Pressure R2 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A635,"27,243"
ISR07480,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"32,194"
ISR07480,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"32,207"
ISR07527,FE Pressure R2 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A635,"36,370"
ISR50275,FE Pressure R2 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A635,"29,504"
ISR51967,FE Pressure STATSAMP Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A633,"36,610"
ISR51967,FE Pressure STATSAMP Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A633,"37,019"
ISR52562,FE Pressure R2 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A635,"30,625"
ISR52562,FE Pressure R2 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A635,"30,664"
ISR55307,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"30,124"
ISR55307,FE Pressure R1 Pipettor,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A634,"30,140"
ISR55352,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"32,244"
ISR55352,FE Pressure Sample,10/29/2019 00:00:00,FE PRESSURES ALGORITHM,116,A632,"32,255"
