SQL Statement which produced this data:
  -- 
  -- batch_num
  -- city
  -- country
  -- created_by
  -- customer
  -- customer_number
  -- date_created
  -- device_id
  -- device_value
  -- experience_code
  -- flag_date
  -- flag_yn
  -- ihn_level3_desc
  -- is_manual_exec
  -- phm_algorithm_definitions_sk
  -- phm_patterns_sk
  -- phm_product_line_code
  -- phm_thresholds_sk
  -- processid
  -- product_family
  -- remarks
  -- run_date
  -- sn
  
  select 
      batch_num,
      city,
      country,
      created_by,
      customer,
      customer_number,
      date_created,
      device_id,
      device_value,
      experience_code,
      flag_date,
      flag_yn,
      ihn_level3_desc,
      is_manual_exec,
      phm_algorithm_definitions_sk,
      phm_patterns_sk,
      phm_product_line_code,
      phm_thresholds_sk,
      processid,
      product_family,
      remarks,
      run_date,
      sn,
      null as dummy
  from
      svc_phm_owner.phm_alg_output
  where
      --rownum < 200
  --and
      flag_yn = 'YES'
  and
      phm_algorithm_definitions_sk in ( 1003 )
      and flag_date >= (sysdate-7)
  order by flag_date desc;

BATCH_NUM,CITY,COUNTRY,CREATED_BY,CUSTOMER,CUSTOMER_NUMBER,DATE_CREATED,DEVICE_ID,DEVICE_VALUE,EXPERIENCE_CODE,FLAG_DATE,FLAG_YN,IHN_LEVEL3_DESC,IS_MANUAL_EXEC,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PHM_PRODUCT_LINE_CODE,PHM_THRESHOLDS_SK,PROCESSID,PRODUCT_FAMILY,REMARKS,RUN_DATE,SN,DUMMY
"BTH1000","AMT","TURKEY","FE PRESSURES ALGORITHM","BALIKESIR ATATURK DEVLET HAST","86539-0",10/18/2019 12:22:35 PM,"11483",31736,"A631",10/19/2019 2:43:07 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5334136,,,10/18/2019,"I1SR02095",
"BTH1000","Europe","ITALY","FE PRESSURES ALGORITHM","Diatec: Laboratorio Analisi Chimico Cliniche ProAvis","125652-10",10/18/2019 12:30:37 PM,"185522",28213,"A631",10/19/2019 1:03:45 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5334136,,,10/18/2019,"I1SR50458",
"BTH1000","AMT","TURKEY","FE PRESSURES ALGORITHM","BALIKESIR ATATURK DEVLET HAST","86539-0",10/18/2019 12:22:34 PM,"11483",31793,"A631",10/18/2019 11:59:44 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5334136,,,10/18/2019,"I1SR02095",
"BTH1000","Japan","JAPAN","FE PRESSURES ALGORITHM","?????","865270000-0",10/18/2019 11:48:34 AM,"18501",28903,"A632",10/18/2019 10:46:24 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5334136,,,10/18/2019,"ISR06036",
"BTH1000","Asia Pacific","MALAYSIA","FE PRESSURES ALGORITHM","B.P. CLINICAL LAB S/B","308004-0",10/18/2019 10:22:00 AM,"58480",29771.5,"A634",10/18/2019 9:47:16 PM,"YES","FE Pressure R1 Pipettor","N",1003,12,116,9,5334136,,,10/18/2019,"ISR04126",
"BTH1000","Japan","JAPAN","FE PRESSURES ALGORITHM","JCHO???????","153240000-0",10/18/2019 10:57:56 AM,"37560",30417,"A635",10/18/2019 9:33:27 PM,"YES","FE Pressure R2 Pipettor","N",1003,13,116,10,5334136,,,10/18/2019,"ISR07157",
"BTH1000","Japan","JAPAN","FE PRESSURES ALGORITHM","????????","62010000-0",10/18/2019 11:49:55 AM,"19203",36364,"A632",10/18/2019 9:05:56 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5334136,,,10/18/2019,"ISR07032",
"BTH1000","China","CHINA","FE PRESSURES ALGORITHM","???????????","16902-0",10/18/2019 11:39:58 AM,"168257",27882,"A633",10/18/2019 8:32:23 PM,"YES","FE Pressure STATSAMP Pipettor","N",1003,10,116,11,5334136,,,10/18/2019,"ISR55714",
"BTH1000","Asia Pacific","TAIWAN","FE PRESSURES ALGORITHM","????????","540368-0",10/18/2019 11:50:57 AM,"131702",29232,"A632",10/18/2019 8:20:25 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5334136,,,10/18/2019,"ISR07866",
"BTH1000","Asia Pacific","HONG KONG","FE PRESSURES ALGORITHM","MEDTIMES MEDICAL SERVICES  LIMITED","611893-1",10/18/2019 12:22:12 PM,"207521",36374,"A631",10/18/2019 7:04:37 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5334136,,,10/18/2019,"I1SR01950",
"BTH1000","Asia Pacific","MALAYSIA","FE PRESSURES ALGORITHM","B.P. CLINICAL LAB S/B - IPOH","308001-0",10/18/2019 10:53:33 AM,"16381",27164,"A635",10/18/2019 6:47:38 PM,"YES","FE Pressure R2 Pipettor","N",1003,13,116,10,5334136,,,10/18/2019,"ISR02239",
"BTH1000","Japan","JAPAN","FE PRESSURES ALGORITHM","????","273120000-0",10/18/2019 10:29:03 AM,"84255",36388,"A634",10/18/2019 6:24:37 PM,"YES","FE Pressure R1 Pipettor","N",1003,12,116,9,5334136,,,10/18/2019,"ISR51256",
"BTH1000","China","CHINA","FE PRESSURES ALGORITHM","?????????","19289-15",10/18/2019 11:53:44 AM,"84955",27982,"A632",10/18/2019 6:17:20 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5334136,,,10/18/2019,"ISR51040",
"BTH1000","Japan","JAPAN","FE PRESSURES ALGORITHM","??????","452030000-0",10/18/2019 11:52:51 AM,"127785",36352,"A632",10/18/2019 5:38:14 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5334136,,,10/18/2019,"ISR50651",
