ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE

STATSAMP Pipettor FE Pressure > 27000,11111,ARCH_FEP_THRESHOLD_NUMBER,27000
STATSAMP Pipettor FE Pressure > 27000,11111,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
STATSAMP Pipettor FE Pressure > 27000,11111,IHN_LEVEL3_DESC,FE Pressure STATSAMP Pipettor
STATSAMP Pipettor FE Pressure > 27000,11111,THRESHOLD_DESCRIPTION,STATSAMP PIPETTER MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS
STATSAMP Pipettor FE Pressure > 27000,11111,ARCH_FEP_THRESHOLD_NAME,STATSAMP

i1 Pipettor FE Pressure > 27000,11112,ARCH_FEP_THRESHOLD_NUMBER,27000
i1 Pipettor FE Pressure > 27000,11112,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
i1 Pipettor FE Pressure > 27000,11112,IHN_LEVEL3_DESC,I1SR FE Pressure Pipettor
i1 Pipettor FE Pressure > 27000,11112,THRESHOLD_DESCRIPTION,I1 PIPETTER MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS
i1 Pipettor FE Pressure > 27000,11112,ARCH_FEP_THRESHOLD_NAME,I1

R1 Pipettor FE Pressure > 27000,11113,ARCH_FEP_THRESHOLD_NUMBER,27000
R1 Pipettor FE Pressure > 27000,11113,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
R1 Pipettor FE Pressure > 27000,11113,IHN_LEVEL3_DESC,FE Pressure R1 Pipettor
R1 Pipettor FE Pressure > 27000,11113,THRESHOLD_DESCRIPTION,R1 PIPETTER MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS
R1 Pipettor FE Pressure > 27000,11113,ARCH_FEP_THRESHOLD_NAME,R1

R2 Pipettor FE Pressure > 27000,11114,ARCH_FEP_THRESHOLD_NUMBER,27000
R2 Pipettor FE Pressure > 27000,11114,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
R2 Pipettor FE Pressure > 27000,11114,IHN_LEVEL3_DESC,FE Pressure R2 Pipettor
R2 Pipettor FE Pressure > 27000,11114,THRESHOLD_DESCRIPTION,R2 PIPETTER MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS
R2 Pipettor FE Pressure > 27000,11114,ARCH_FEP_THRESHOLD_NAME,R2

Sample Pipettor FE Pressure > 27000,11115,ARCH_FEP_THRESHOLD_NUMBER,27000
Sample Pipettor FE Pressure > 27000,11115,ARCH_FEP_THRESHOLD_NUMBER_UNIT,5
Sample Pipettor FE Pressure > 27000,11115,IHN_LEVEL3_DESC,FE Pressure Sample
Sample Pipettor FE Pressure > 27000,11115,THRESHOLD_DESCRIPTION,SAMPLE PIPETTER MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS
Sample Pipettor FE Pressure > 27000,11115,ARCH_FEP_THRESHOLD_NAME,SAMP

