BATCH_NUM,CITY,COUNTRY,CREATED_BY,CUSTOMER,CUSTOMER_NUMBER,DATE_CREATED,DEVICE_ID,DEVICE_VALUE,EXPERIENCE_CODE,FLAG_DATE,FLAG_YN,IHN_LEVEL3_DESC,IS_MANUAL_EXEC,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PHM_PRODUCT_LINE_CODE,PHM_THRESHOLDS_SK,PROCESSID,PRODUCT_FAMILY,REMARKS,RUN_DATE,SN,DUMMY
"BTH0000","Europe","NETHERLANDS","Alinity IA Vacuum Pump","MDC-AMSTELLAND","0056645968",10/25/2019 12:19:15 AM,"206962",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01696",
"BTH0000","Latin America","MEXICO","Alinity IA Vacuum Pump","Distribuidora Quimica Integral - Biomedica de Referencia","608600-1",10/25/2019 12:17:09 AM,"211430",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI02497",
"BTH0000","Latin America","COLOMBIA","Alinity IA Vacuum Pump","DINAMICA IPS - Central de Proceso","1029389-1037321",10/25/2019 12:17:11 AM,"207917",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01337",
"BTH0000","Latin America","COLOMBIA","Alinity IA Vacuum Pump","Clinica San Rafael","433555-0",10/25/2019 12:17:13 AM,"209874",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI02053",
"BTH0000","Europe","FRANCE","Alinity IA Vacuum Pump","BIO 7","406019-0",10/25/2019 12:17:15 AM,"210567",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI02431",
"BTH0000","Latin America","BRAZIL","Alinity IA Vacuum Pump","Pardini - NTO Vespasiano Matriz","800126-0",10/25/2019 12:18:11 AM,"205007",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01245",
"BTH0000","AMT","TURKEY","Alinity IA Vacuum Pump","EDREMIT DEVLET HASTANESI","86653-0",10/25/2019 12:18:13 AM,"206008",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01524",
"BTH0000","AMT","PAKISTAN","Alinity IA Vacuum Pump","EXCEL LAB","17399021-0",10/25/2019 12:18:15 AM,"207534",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01561",
"BTH0000","AMT","SAUDI ARABIA","Alinity IA Vacuum Pump","KAAMC NAT'L GUARD RIYADH-CR","0056687936",10/25/2019 12:18:18 AM,"206201",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01383",
"BTH0000","Latin America","COLOMBIA","Alinity IA Vacuum Pump","Clinica San Rafael","433555-1",10/25/2019 12:17:34 AM,"209861",1,"CCE2",10/24/2019,"YES","Alinity IA Vacuum Pump","N",20231,20232,205,-1,5413143,,,10/25/2019,"AI01903",
