FLAG_DATE,WAM_TYPE,SN,DUMMY
10/29/2019,"WAM A","I201838",
10/29/2019,"WAM A","I201981",
10/29/2019,"WAM A","I202245",
10/29/2019,"WAM A","ISR03817",
10/29/2019,"WAM A","ISR04170",
10/29/2019,"WAM A","ISR04300",
10/29/2019,"WAM A","ISR04595",
10/29/2019,"WAM A","ISR04781",
10/29/2019,"WAM A","ISR05029",
10/29/2019,"WAM A","ISR05160",
10/29/2019,"WAM A","ISR05216",
10/29/2019,"WAM A","ISR05294",
10/29/2019,"WAM A","ISR05679",
10/29/2019,"WAM A","ISR06610",
10/29/2019,"WAM A","ISR06615",
10/29/2019,"WAM A","ISR06671",
10/29/2019,"WAM A","ISR07052",
10/29/2019,"WAM A","ISR07527",
10/29/2019,"WAM A","ISR07569",
10/29/2019,"WAM A","ISR07710",
10/29/2019,"WAM A","ISR08072",
10/29/2019,"WAM A","ISR50059",
10/29/2019,"WAM A","ISR50220",
10/29/2019,"WAM A","ISR50339",
10/29/2019,"WAM A","ISR50688",
10/29/2019,"WAM A","ISR50779",
10/29/2019,"WAM A","ISR51038",
10/29/2019,"WAM A","ISR51534",
10/29/2019,"WAM A","ISR51792",
10/29/2019,"WAM A","ISR52133",
10/29/2019,"WAM A","ISR52618",
10/29/2019,"WAM A","ISR54354",
10/29/2019,"WAM A","ISR54793",
10/29/2019,"WAM A","ISR56080",
10/29/2019,"WAM A","ISR60283",
10/29/2019,"WAM A","ISR60442",
10/29/2019,"WAM A","ISR60792",
10/29/2019,"WAM A","ISR60956",
10/29/2019,"WAM A","ISR60975",
10/29/2019,"WAM A","ISR62542",
10/29/2019,"WAM A","ISR63597",
10/29/2019,"WAM B","ISR01756",
10/29/2019,"WAM B","ISR01969",
10/29/2019,"WAM B","ISR02552",
10/29/2019,"WAM B","ISR03291",
10/29/2019,"WAM B","ISR04002",
10/29/2019,"WAM B","ISR04484",
10/29/2019,"WAM B","ISR05270",
10/29/2019,"WAM B","ISR06015",
10/29/2019,"WAM B","ISR52974",
10/30/2019,"WAM A","I1SR02908",
10/30/2019,"WAM A","I1SR02936",
10/30/2019,"WAM A","I1SR03166",
10/30/2019,"WAM A","I1SR03197",
10/30/2019,"WAM A","I1SR03267",
10/30/2019,"WAM A","I1SR03378",
10/30/2019,"WAM A","I1SR03442",
10/30/2019,"WAM A","I1SR03746",
10/30/2019,"WAM A","I1SR03846",
10/30/2019,"WAM A","I1SR50033",
10/30/2019,"WAM A","I1SR50810",
10/30/2019,"WAM A","I1SR50957",
10/30/2019,"WAM A","I1SR51102",
10/30/2019,"WAM A","I1SR51467",
10/30/2019,"WAM A","I1SR52016",
10/30/2019,"WAM A","I1SR52068",
10/30/2019,"WAM A","I1SR52398",
10/30/2019,"WAM A","I1SR52469",
10/30/2019,"WAM A","I1SR53026",
10/30/2019,"WAM A","I1SR53085",
10/30/2019,"WAM A","I1SR53306",
10/30/2019,"WAM A","I1SR53920",
10/30/2019,"WAM A","I1SR54263",
10/30/2019,"WAM A","I1SR55311",
10/30/2019,"WAM A","I1SR56303",
10/30/2019,"WAM A","I1SR56469",
10/30/2019,"WAM A","I1SR56543",
10/30/2019,"WAM A","I1SR56610",
10/30/2019,"WAM A","I1SR60147",
10/30/2019,"WAM A","I1SR60619",
10/30/2019,"WAM A","I1SR60749",
10/30/2019,"WAM A","ISR01017",
10/30/2019,"WAM A","ISR02803",
10/30/2019,"WAM A","ISR02871",
10/30/2019,"WAM A","ISR03599",
10/30/2019,"WAM A","ISR03608",
10/30/2019,"WAM A","ISR03776",
10/30/2019,"WAM A","ISR03985",
10/30/2019,"WAM A","ISR05836",
10/30/2019,"WAM A","ISR06051",
10/30/2019,"WAM A","ISR07225",
10/30/2019,"WAM A","ISR07359",
10/30/2019,"WAM A","ISR07604",
10/30/2019,"WAM A","ISR08177",
10/30/2019,"WAM A","ISR08382",
10/30/2019,"WAM A","ISR50114",
10/30/2019,"WAM A","ISR50353",
10/30/2019,"WAM A","ISR50516",
10/30/2019,"WAM A","ISR50600",
10/30/2019,"WAM A","ISR50633",
10/30/2019,"WAM A","ISR50779",
10/30/2019,"WAM A","ISR50883",
10/30/2019,"WAM A","ISR51463",
10/30/2019,"WAM A","ISR51534",
10/30/2019,"WAM A","ISR51593",
10/30/2019,"WAM A","ISR51652",
10/30/2019,"WAM A","ISR51769",
10/30/2019,"WAM A","ISR52133",
10/30/2019,"WAM A","ISR52869",
10/30/2019,"WAM A","ISR52890",
10/30/2019,"WAM A","ISR53166",
10/30/2019,"WAM A","ISR53323",
10/30/2019,"WAM A","ISR53580",
10/30/2019,"WAM A","ISR53992",
10/30/2019,"WAM A","ISR54100",
10/30/2019,"WAM A","ISR54245",
10/30/2019,"WAM A","ISR54380",
10/30/2019,"WAM A","ISR54498",
10/30/2019,"WAM A","ISR54572",
10/30/2019,"WAM A","ISR54607",
10/30/2019,"WAM A","ISR54669",
10/30/2019,"WAM A","ISR54752",
10/30/2019,"WAM A","ISR55193",
10/30/2019,"WAM A","ISR55309",
10/30/2019,"WAM A","ISR55573",
10/30/2019,"WAM A","ISR56080",
10/30/2019,"WAM A","ISR60012",
10/30/2019,"WAM A","ISR60041",
10/30/2019,"WAM A","ISR60343",
10/30/2019,"WAM A","ISR60522",
10/30/2019,"WAM A","ISR60855",
10/30/2019,"WAM A","ISR60993",
10/30/2019,"WAM A","ISR61043",
10/30/2019,"WAM A","ISR61161",
10/30/2019,"WAM A","ISR61258",
10/30/2019,"WAM A","ISR61542",
10/30/2019,"WAM A","ISR61598",
10/30/2019,"WAM A","ISR61741",
10/30/2019,"WAM A","ISR61774",
10/30/2019,"WAM A","ISR61913",
10/30/2019,"WAM A","ISR62058",
10/30/2019,"WAM A","ISR62065",
10/30/2019,"WAM A","ISR62069",
10/30/2019,"WAM A","ISR62442",
10/30/2019,"WAM A","ISR62668",
10/30/2019,"WAM A","ISR62740",
10/30/2019,"WAM A","ISR63106",
10/30/2019,"WAM A","ISR63597",
10/30/2019,"WAM B","I1SR55027",
10/30/2019,"WAM B","ISR01017",
10/30/2019,"WAM B","ISR01628",
10/30/2019,"WAM B","ISR02863",
10/30/2019,"WAM B","ISR03183",
10/30/2019,"WAM B","ISR03283",
10/30/2019,"WAM B","ISR04177",
10/30/2019,"WAM B","ISR07547",
10/30/2019,"WAM B","ISR50325",
10/30/2019,"WAM B","ISR51922",
10/30/2019,"WAM B","ISR52288",
10/30/2019,"WAM B","ISR54258",
10/30/2019,"WAM B","ISR54639",
10/30/2019,"WAM B","ISR55147",
10/30/2019,"WAM B","ISR60522",
10/30/2019,"WAM B","ISR61466",
10/30/2019,"WAM B","ISR62034",
