ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity IA Pipettor Sample Syringe Backlash,11111,IHN_LEVEL3_DESC,Alinity IA Pipettor Sample Syringe Backlash
Alinity IA Pipettor Sample Syringe Backlash,11111,I_POSDIFF_THRESHOLD_ACTIVITY,SyringeCheckResult for pipettor: SamplePipettor%
Alinity IA Pipettor Sample Syringe Backlash,11111,I_POSDIFF_THRESHOLD_MAX,95
Alinity IA Pipettor Sample Syringe Backlash,11111,I_POSDIFF_THRESHOLD_NUMFLAGS,1
Alinity IA Pipettor Sample Syringe Backlash,11111,I_POSDIFF_THRESHOLD_NUMREPS,5
Alinity IA Pipettor Sample Syringe Backlash,11111,THRESHOLDS_COUNT,1
Alinity IA Pipettor Sample Syringe Backlash,11111,THRESHOLD_DESCRIPTION,Alinity IA Pipettor Sample Syringe Backlash
Alinity IA Pipettor Sample Syringe Backlash,11112,IHN_LEVEL3_DESC,Alinity IA Pipettor R1 Syringe Backlash
Alinity IA Pipettor Sample Syringe Backlash,11112,I_POSDIFF_THRESHOLD_ACTIVITY,SyringeCheckResult for pipettor: R1Pipettor%
Alinity IA Pipettor Sample Syringe Backlash,11112,I_POSDIFF_THRESHOLD_MAX,95
Alinity IA Pipettor Sample Syringe Backlash,11112,I_POSDIFF_THRESHOLD_NUMFLAGS,1
Alinity IA Pipettor Sample Syringe Backlash,11112,I_POSDIFF_THRESHOLD_NUMREPS,5
Alinity IA Pipettor Sample Syringe Backlash,11112,THRESHOLDS_COUNT,1
Alinity IA Pipettor Sample Syringe Backlash,11112,THRESHOLD_DESCRIPTION,Alinity IA Pipettor R1 Syringe Backlash
Alinity IA Pipettor Sample Syringe Backlash,11113,IHN_LEVEL3_DESC,Alinity IA Pipettor R2 Syringe Backlash
Alinity IA Pipettor Sample Syringe Backlash,11113,I_POSDIFF_THRESHOLD_ACTIVITY,SyringeCheckResult for pipettor: R2Pipettor%
Alinity IA Pipettor Sample Syringe Backlash,11113,I_POSDIFF_THRESHOLD_MAX,95
Alinity IA Pipettor Sample Syringe Backlash,11113,I_POSDIFF_THRESHOLD_NUMFLAGS,1
Alinity IA Pipettor Sample Syringe Backlash,11113,I_POSDIFF_THRESHOLD_NUMREPS,5
Alinity IA Pipettor Sample Syringe Backlash,11113,THRESHOLDS_COUNT,1
Alinity IA Pipettor Sample Syringe Backlash,11113,THRESHOLD_DESCRIPTION,Alinity IA Pipettor R2 Syringe Backlash

