NAME,VALUE
#
# remove comment sign (#) for the sections you need and comment out
# the sections you do not need.
#
# variables for athena saml connection to dx
#
# ATHENA_JDBC_DRIVER_CLASS,com.simba.athena.jdbc.Driver
# ATHENA_JDBC_CLASSPATH,C:/Users/rumormx/Documents/sandbox/phm/jlib/athena/AthenaJDBC41_2.0.7.jar
# ATHENA_LOGLEVEL,6
# ATHENA_LOGPATH,logs
# ATHENA_WORKGROUP,add_service_dx_readonly
# ATHENA_USERESULTSETSTREAMING,0
# ATHENA_S3OUTPUTLOCATION,s3://abt-bdaa-test-us-east-1-sandbox/athena/RUMORMX
# ATHENA_AWSCREDENTIALSPROVIDERCLASS,com.simba.athena.amazonaws.auth.profile.ProfileCredentialsProvider
# ATHENA_AWSCREDENTIALSPROVIDERARGUMENTS,saml
# ATHENA_S3_STAGING_DIR,s3://abt-bdaa-test-us-east-1-sandbox/athenaquerylog
# ATHENA_DB_CONN_STRING,jdbc:awsathena://awsregion=us-east-1
# ATHENA_DB_USER,ASIAT7BAKCIVKS5HDBZQ
# ATHENA_DB_PASSWORD,k9QZP5pP7hkqNNIELQHAiQBYlLj4HREsgHbLq0Fl
# ATHENA_CREDENTIAL_PROVIDER,saml
#
# variables for connection to ida
#
IDA_DB_NAME,pabbto
IDA_DB_HOST,ux00147p-scan.oneabbott.com
IDA_DB_PORT,1521
IDA_DB_USER,SVC_PHM_CONNECT
IDA_DB_PASSWORD,svc_phmc_0771
IDA_JDBC_CLASSPATH,C:/Users/rumormx/Documents/sandbox/phm/jlib/OJDBC-Full/ojdbc6.jar
IDA_JDBC_DSN_FORMAT,jdbc:oracle:thin:@//%s:%s/%s
IDA_JDBC_DRIVER_CLASS,oracle.jdbc.OracleDriver
#
# variables for spark connection to dx
# 
# SPARK_HOME,/usr/lib/spark
# HADOOP_CONF_DIR,/etc/hadoop/conf
# YARN_CONF_DIR,/etc/hadoop/conf
# SPARK_EXECUTOR_INSTANCES,4
# SPARK_EXECUTOR_CORES,4
# SPARK_EXECUTOR_MEMORY,20GB
# SPARK_DYANMICALLOCATION_ENABLED,false
# SPARK_MASTER,yarn-client
# SPARK_VERSION,2.3.1
