NAME,VALUE
#
# athena connection
#
# ATHENA_JDBC_DRIVER_CLASS,com.simba.athena.jdbc.Driver
# ATHENA_JDBC_CLASSPATH,C:/Users/rumormx/Documents/sandbox/phm/jlib/athena/AthenaJDBC41_2.0.7.jar
# ATHENA_LOGLEVEL,6
# ATHENA_LOGPATH,logs
# ATHENA_WORKGROUP,add_service_dx_readonly
# ATHENA_USERESULTSETSTREAMING,0
# ATHENA_S3OUTPUTLOCATION,s3://abt-bdaa-test-us-east-1-sandbox/athena/RUMORMX
# ATHENA_AWSCREDENTIALSPROVIDERCLASS,com.simba.athena.amazonaws.auth.profile.ProfileCredentialsProvider
# ATHENA_AWSCREDENTIALSPROVIDERARGUMENTS,saml
# ATHENA_S3_STAGING_DIR,s3://abt-bdaa-test-us-east-1-sandbox/athenaquerylog
# ATHENA_DB_CONN_STRING,jdbc:awsathena://awsregion=us-east-1
# ATHENA_CREDENTIAL_PROVIDER,saml
#
# spark connection using yarn as cluster manager
#
SPARK_HOME,/usr/lib/spark
HADOOP_CONF_DIR,/etc/hadoop/conf
YARN_CONF_DIR,/etc/hadoop/conf
SPARK_EXECUTOR_INSTANCES,4
SPARK_EXECUTOR_CORES,4
SPARK_EXECUTOR_MEMORY,20GB
SPARK_DYANMICALLOCATION_ENABLED,false
SPARK_MASTER,yarn-client
SPARK_VERSION,2.3.1
#
# variables for connection to reliability
#
RELIABILITY_DB_SERVER,WQ00418P\SQLP01
RELIABILITY_DB_NAME,Reliability
RELIABILITY_DB_USER,gsr_reader
RELIABILITY_DB_PASSWORD,Rel11APP!
# RELIABILITY_DB_CONN_TYPE,DSN
RELIABILITY_DB_CONN_TYPE,NON-DSN
#
# added stuff
#
ATHENA_DB_USER,ASIAT7BAKCIVKS5HDBZQ
ATHENA_DB_PASSWORD,k9QZP5pP7hkqNNIELQHAiQBYlLj4HREsgHbLq0Fl
ATHENA_AWS_SESSION_TOKEN,FQoGZXIvYXdzEOL//////////wEaDHjxE47Z888MLWB1yyK7AmZXAd6kRirIgu6Mv+LgOT+EzENvcwgGkCou2zzK93tELZB5amJ/21U7kyRTt3Ib8bRlTG6mEmPM9Jhn7NSwj+n4Hbt7Xbd50ynrpg6n0lcuMUXKt9BcG6OCrr5Sd2g/DugdHqeERuo2UyqwYodJX4SyGt/RX3lW+mXOVd7lOmGXpgZqBOngKdfSNe+QdeNcAi1EOIUHvLuxj2LKyxyQ5AfVSrDJYujd8qgroiPDrsWf5Izz+/lUjTH1gxn0P0D47fWTpYbio9xWKxBfNyenXH2aylg8m+3ueeMh+YKzr07Gn0mXkueME4h9kV83v3GleaHddMSRcfvxNnYEZU+/JxhcuuMox8ZotVa93TBYYavWHCPhXAZJup7xKNklFAF+1nWTQ/okFNBGJPJgbq01D/pHkiykRvpx+HMQvSjf1/flBQ==
