SQL Statement which produced this data:
  -- select * from SVC_PHM_OWNER.PHM_ALGORITHM_DEFINITIONS where algorithm_name like '%3600%'
  -- 
  -- A3600 algorithms have vn_ALG_NUM = 1040
  --
  -- CURSOR ALL_THRESHOLDS (vn_ALG_NUM    NUMBER)
  -- IS
  
  --     select 
  --         phm_patterns_sk phm_thresholds_sk,
  --         case when threshold_number is null 
  --              then 
  --                  9999
  --              else 
  --                  to_number (threshold_number)
  --              end threshold_number,
  --         case when threshold_number_unit is null 
  --              then 
  --                  9999
  --              else 
  --                  to_number (threshold_number_unit)
  --              end threshold_number_unit,
  --         threshold_number_desc,
  --         phm_patterns_sk phm_patterns_sk,
  --         phm_thresholds_sk as thresholds_sk_val,
  --         pattern_description,
  --         threshold_alert,
  --         algorithm_type as algorithm_type,
  --         case when threshold_data_days is null 
  --         then 
  --             9999
  --         else 
  --             to_number (threshold_data_days)
  --         end threshold_data_days,
  --         case when module_type = 'ALL' 
  --              then 
  --                  '%' 
  --              else 
  --                  module_type 
  --              end module_type
  --     from (
          select 
              tp.phm_patterns_sk,
              p.pattern_name as pattern_name,
              thr.phm_thresholds_sk,
              ihn.issue_description,
              tp.parameter_name,
              tp.parameter_values
          from 
              phm_threshold_parameter tp,
              phm_patterns p,
              (
                  select 
                      phm_patterns_sk, 
                      issue_description
                  from 
                      phm_algorithm_ihns pai
                  where 
                      pai.phm_algorithm_definitions_sk = 1040 -- vn_alg_num
              ) ihn,
              (
                  select 
                      phm_patterns_sk, 
                      phm_thresholds_sk
                  from 
                      phm_thresholds pt
                  where 
                      pt.phm_algorithm_definitions_sk = 1040 -- vn_alg_num
              ) thr
          where     
              tp.phm_patterns_sk = p.phm_patterns_sk
          and 
              nvl (tp.delete_flag, 'N') <> 'Y'
          and 
              tp.phm_d_algorithm_definitions_sk = 1040 -- vn_alg_num
          and 
              p.phm_patterns_sk = ihn.phm_patterns_sk
          and 
              p.phm_patterns_sk = thr.phm_patterns_sk
  --     ) pivot ( 
  --         max ( parameter_values )
  --         for 
  --             parameter_name
  --         in (
  --             'ALGORITHM_TYPE' as algorithm_type,
  --             'ERROR_CODE_VALUE' as pattern_description,
  --             'ERROR_COUNT' as threshold_number,
  --             'IHN_LEVEL3_DESC' as threshold_alert,
  --             'THRESHOLD_DATA_DAYS' as threshold_data_days,
  --             'THRESHOLDS_DAYS' as threshold_number_unit,
  --             'THRESHOLD_DESCRIPTION' as threshold_number_desc,
  --             'MODULE' as module_type
  --         )
  --     )
  --     order by 
  --         algorithm_type, 
  --         pattern_name;

PHM_PATTERNS_SK,PATTERN_NAME,PHM_THRESHOLDS_SK,ISSUE_DESCRIPTION,PARAMETER_NAME,PARAMETER_VALUES
136,"Axis Z Up Failure ROM 0D99",216,,"ERROR_COUNT","4"
136,"Axis Z Up Failure ROM 0D99",216,,"THRESHOLD_DATA_DAYS","2"
136,"Axis Z Up Failure ROM 0D99",216,,"THRESHOLDS_DAYS","2"
136,"Axis Z Up Failure ROM 0D99",216,,"THRESHOLD_DESCRIPTION","4/day for 2 consecutive days"
136,"Axis Z Up Failure ROM 0D99",216,,"ALGORITHM_TYPE","ERROR_COUNT"
136,"Axis Z Up Failure ROM 0D99",216,,"IHN_LEVEL3_DESC","Axis Z Up Failure ROM 0D99"
142,"Axis Z Up Failure SRM 0EBA",219,,"ERROR_CODE_VALUE","0EBA"
142,"Axis Z Up Failure SRM 0EBA",219,,"MODULE","SRM"
142,"Axis Z Up Failure SRM 0EBA",219,,"ERROR_COUNT","4"
142,"Axis Z Up Failure SRM 0EBA",219,,"THRESHOLD_DATA_DAYS","2"
142,"Axis Z Up Failure SRM 0EBA",219,,"THRESHOLDS_DAYS","2"
142,"Axis Z Up Failure SRM 0EBA",219,,"THRESHOLD_DESCRIPTION","4/day for 2 consecutive days"
142,"Axis Z Up Failure SRM 0EBA",219,,"ALGORITHM_TYPE","ERROR_COUNT"
142,"Axis Z Up Failure SRM 0EBA",219,,"IHN_LEVEL3_DESC","Axis Z Up Failure SRM 0EBA"
209,"Cap Drop Failure DCM 1087",174,,"ERROR_CODE_VALUE","1087"
209,"Cap Drop Failure DCM 1087",174,,"MODULE","DCM"
209,"Cap Drop Failure DCM 1087",174,,"ERROR_COUNT","3"
209,"Cap Drop Failure DCM 1087",174,,"THRESHOLD_DATA_DAYS","2"
209,"Cap Drop Failure DCM 1087",174,,"THRESHOLDS_DAYS","2"
209,"Cap Drop Failure DCM 1087",174,,"THRESHOLD_DESCRIPTION","3/day for 2 consecutive days"
209,"Cap Drop Failure DCM 1087",174,,"ALGORITHM_TYPE","ERROR_COUNT"
209,"Cap Drop Failure DCM 1087",174,,"IHN_LEVEL3_DESC","Cap Drop Failure DCM 1087"
214,"Cap Drop Sensor Error DCM 108B",176,,"ERROR_CODE_VALUE","108B"
214,"Cap Drop Sensor Error DCM 108B",176,,"MODULE","DCM"
214,"Cap Drop Sensor Error DCM 108B",176,,"ERROR_COUNT","1"
214,"Cap Drop Sensor Error DCM 108B",176,,"THRESHOLD_DATA_DAYS","2"
214,"Cap Drop Sensor Error DCM 108B",176,,"THRESHOLDS_DAYS","2"
214,"Cap Drop Sensor Error DCM 108B",176,,"THRESHOLD_DESCRIPTION","1/day for 2 consecutive days"
214,"Cap Drop Sensor Error DCM 108B",176,,"ALGORITHM_TYPE","ERROR_COUNT"
