PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
1,ABT018,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT018,08/05/2019
2,ABT019,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT019,08/05/2019
3,ABT023,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT023,08/05/2019
4,ABT024,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT024,08/05/2019
5,ABT026,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT026,08/05/2019
6,ABT027,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT027,08/05/2019
7,ABT028,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT028,08/05/2019
8,ABT030,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT030,08/05/2019
9,ABT034,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT034,08/05/2019
10,ABT036,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT036,08/05/2019
11,ABT037,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT037,08/05/2019
12,ABT041,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT041,08/05/2019
13,ABT042,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT042,08/05/2019
14,ABT045,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT045,08/05/2019
15,ABT047,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT047,08/05/2019
16,ABT049,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT049,08/05/2019
17,ABT050,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT050,08/05/2019
18,ABT051,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT051,08/05/2019
19,ABT054,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT054,08/05/2019
20,ABT058,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT058,08/05/2019
21,ABT059,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT059,08/05/2019
22,ABT060,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT060,08/05/2019
23,ABT061,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT061,08/05/2019
24,ABT062,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT062,08/05/2019
25,ABT063,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT063,08/05/2019
26,ABT065,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT065,08/05/2019
27,ABT066,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT066,08/05/2019
28,ABT067,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT067,08/05/2019
29,ABT068,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT068,08/05/2019
30,ABT069,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT069,08/05/2019
31,ABT070,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT070,08/05/2019
32,ABT073,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT073,08/05/2019
33,ABT074,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT074,08/05/2019
34,ABT075,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT075,08/05/2019
35,ABT077,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT077,08/05/2019
36,ABT078,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT078,08/05/2019
37,ABT080,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT080,08/05/2019
38,ABT081,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT081,08/05/2019
39,ABT082,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT082,08/05/2019
40,ABT083,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT083,08/05/2019
41,ABT084,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT084,08/05/2019
42,ABT086,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT086,08/05/2019
43,ABT088,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT088,08/05/2019
44,ABT089,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT089,08/05/2019
45,ABT091,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT091,08/05/2019
46,ABT092,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT092,08/05/2019
47,ABT093,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT093,08/05/2019
48,ABT094,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT094,08/05/2019
49,ABT096,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT096,08/05/2019
