ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"AL_FILEINFOID",12,,,"Y","NUMBER",,"None",0,616079,0,,,,False
"AL_UPLOADTIME",13,,,"Y","NUMBER",,"None",0,616079,0,,,,False
"DEVICEID",3,,,"N","NUMBER",,"Height Balanced",569,0,0,,,,False
"ERRORCODE",6,,,"Y","VARCHAR2 (4000 Byte)",,"Frequency",144,483753,0,,,,False
"FILEID",1,1,"1","N","INTEGER",,"Height Balanced",3033140,0,0,,,,False
"FILENAME",4,,,"N","VARCHAR2 (4000 Byte)",,"Height Balanced",478302,0,0,,,,False
"FILESOURCE",10,,,"Y","VARCHAR2 (4000 Byte)",,"None",3,0,0.33333,,,,False
"FILESOURCEDATE",11,,,"Y","TIMESTAMP(6)",,"Height Balanced",468330,0,0,,,,False
"LOADENDTIME",8,,,"Y","TIMESTAMP(6)",,"Height Balanced",609952,0,0,,,,False
"LOADSECONDS",9,,,"Y","NUMBER",,"None",128357,2,1E-5,,,,False
"LOADSTARTTIME",7,,,"Y","TIMESTAMP(6)",,"Height Balanced",38086,0,0,,,,False
"PLATFORM",2,,,"N","VARCHAR2 (40 Byte)",,"Frequency",4,0,0,,,,False
"PRIORITY",15,,,"Y","INTEGER",,"None",2,0,0.5,,,,False
"PROCESSFLAG",5,,"1","N","VARCHAR2 (1 Byte)",,"Frequency",3,0,0,,,,False
"SERVERID",14,,,"Y","VARCHAR2 (40 Byte)",,"Frequency",122,0,0,,,,False
