ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"ACTIVITY",10,,,"Y","VARCHAR2 (1024 Byte)",,"None",,,,,,,False
"BATCH_NUM",1,,"2","N","VARCHAR2 (15 Byte)",,"Frequency",9,0,0,,,,False
"COMPONENT",17,,,"Y","VARCHAR2 (1024 Byte)",,"None",,,,,,,False
"CUSTOMERNUMBER",7,,,"N","VARCHAR2 (250 Char)",,"None",,,,,,,False
"DEVICEID",9,,,"N","NUMBER",,"None",,,,,,,False
"FILENAME",5,,,"Y","VARCHAR2 (400 Byte)",,"None",,,,,,,False
"LOADDATE",12,,,"Y","DATE",,"None",,,,,,,False
"LOGDATE_LOCAL",11,,"1","Y","TIMESTAMP(6)",,"Height Balanced",339643904,0,0,,,,False
"LOGDETAIL_ID",4,,,"Y","NUMBER",,"None",,,,,,,False
"MODULESN",6,,"1","N","VARCHAR2 (500 Byte)",,"Height Balanced",3047,0,0,,,,False
"PHM_ODS_CREATE_DATE",14,,,"N","DATE",,"None",,,,,,,False
"PHM_ODS_CREATE_USER",13,,,"N","VARCHAR2 (200 Byte)",,"None",,,,,,,False
"PHM_ODS_MODIFY_DATE",16,,,"N","DATE",,"None",,,,,,,False
"PHM_ODS_MODIFY_USER",15,,,"N","VARCHAR2 (200 Byte)",,"None",,,,,,,False
"RUN_DATE",2,,"1","N","DATE",,"Frequency",79,0,0,,,,False
"SYSTEMSN",8,,,"N","VARCHAR2 (500 Byte)",,"None",,,,,,,False
"ZIPID",3,,,"Y","NUMBER",,"None",,,,,,,False
