COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"TURKEY","KOCAELI","MEDICAL PARK KOCAELI","ISR04484","2.1",6/30/2019 4:11:33 AM,"NO","YES","NO"
"BRAZIL","SAO PAULO - SP","AFIP","ISR54890","2.1",6/30/2019 2:53:06 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR61774","2.1",6/30/2019 10:21:04 AM,"NO","NO","YES"
"JAPAN","???","??????·??·??","ISR54774","2.1",6/30/2019 10:26:08 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR60061","2.1",6/30/2019 9:45:49 AM,"NO","NO","YES"
"CHINA","??","??????????????","ISR51435","2.1",6/30/2019 8:05:25 AM,"NO","NO","YES"
"POLAND","KATOWICE","REGIONALNE CENTRUM","ISR54853","2.1",6/30/2019 3:22:03 PM,"NO","NO","YES"
"FRANCE","BESANCON","CHU JEAN MINJOZ","ISR03480","2.1",6/30/2019 8:49:46 AM,"NO","NO","YES"
"JAPAN","????","?????????????????????","ISR54310","2.1",6/30/2019 1:59:26 AM,"NO","NO","YES"
"JAPAN","???","?????? ??????????????","ISR62902","2.1",6/30/2019 12:14:00 PM,"NO","NO","YES"
"USA","COLUMBIA","PALMETTO HEALTH RICHLA","ISR60129","1.2",6/30/2019 12:38:27 AM,"NO","YES","NO"
"BELGIUM","OTTIGNIES","Clinique Saint-Pierre ","ISR07131","2.3",6/30/2019 5:17:03 AM,"YES","NO","NO"
"CHINA","??","???????????????","ISR51838","2.1",6/30/2019 9:13:06 AM,"NO","NO","YES"
"CHINA","???","???????","ISR52248","1.1",6/30/2019 11:18:06 AM,"NO","NO","YES"
"SAUDI ARABIA","Khamis Mushait","AL BORG LAB KHAMIS MUS","I1SR51831","1.3",6/30/2019 12:16:19 PM,"NO","NO","YES"
"MEXICO","Morelia","Operadora de Hospitale","I1SR52445","1.2",6/30/2019 8:55:07 PM,"YES","NO","NO"
"SOUTH KOREA","?????","(?)???????","ISR04568","1.1",6/30/2019 2:44:50 PM,"NO","NO","YES"
"CHINA","??","??????","ISR50702","2.1",6/30/2019 9:25:22 AM,"NO","NO","YES"
"JAPAN","??","???????????","ISR54385","2.3",6/30/2019 1:55:17 AM,"YES","NO","NO"
"ISRAEL","TEL AVIV","I L E X MEDICAL LTD.","ISR54596","2.1",6/30/2019 11:00:27 AM,"NO","NO","YES"
"FRANCE","BESANCON","CHU JEAN MINJOZ","ISR03480","1.1",6/30/2019 8:49:10 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR61501","1.2",6/30/2019 9:56:56 AM,"YES","NO","NO"
