table,start_date,end_date,uniq_modsn_cnt
dx.dx_210_assayactivity,05/01/2017,06/01/2017,1
dx.dx_210_assayactivity,06/01/2017,07/01/2017,8
dx.dx_210_assayactivity,07/01/2017,08/01/2017,0
dx.dx_210_assayactivity,08/01/2017,09/01/2017,0
dx.dx_210_assayactivity,09/01/2017,10/01/2017,0
dx.dx_210_assayactivity,10/01/2017,11/01/2017,0
dx.dx_210_assayactivity,11/01/2017,12/01/2017,0
dx.dx_210_assayactivity,12/01/2017,01/01/2018,0
dx.dx_210_assayactivity,01/01/2018,02/01/2018,0
dx.dx_210_assayactivitycc,05/01/2017,06/01/2017,9
dx.dx_210_assayactivitycc,06/01/2017,07/01/2017,22
dx.dx_210_assayactivitycc,07/01/2017,08/01/2017,26
dx.dx_210_assayactivitycc,08/01/2017,09/01/2017,30
dx.dx_210_assayactivitycc,09/01/2017,10/01/2017,33
dx.dx_210_assayactivitycc,10/01/2017,11/01/2017,49
dx.dx_210_assayactivitycc,11/01/2017,12/01/2017,49
dx.dx_210_assayactivitycc,12/01/2017,01/01/2018,53
dx.dx_210_assayactivitycc,01/01/2018,02/01/2018,70
dx.dx_210_assayactivitycc,02/01/2018,03/01/2018,79
dx.dx_210_assayactivitycc,03/01/2018,04/01/2018,100
dx.dx_210_assayactivitycc,04/01/2018,05/01/2018,104
dx.dx_210_assayactivitycc,05/01/2018,06/01/2018,124
dx.dx_210_assayactivitycc,06/01/2018,07/01/2018,158
dx.dx_210_assayactivitycc,07/01/2018,08/01/2018,189
dx.dx_210_assayactivitycc,08/01/2018,09/01/2018,203
dx.dx_210_assayactivitycc,09/01/2018,10/01/2018,239
dx.dx_210_assayactivitycc,10/01/2018,11/01/2018,280
dx.dx_210_assayactivitycc,11/01/2018,12/01/2018,370
dx.dx_210_assayactivitycc,12/01/2018,01/01/2019,392
dx.dx_210_assayactivitycc,01/01/2019,02/01/2019,445
dx.dx_210_calcurve,05/01/2017,06/01/2017,9
dx.dx_210_calcurve,06/01/2017,07/01/2017,21
dx.dx_210_calcurve,07/01/2017,08/01/2017,20
dx.dx_210_calcurve,08/01/2017,09/01/2017,29
dx.dx_210_calcurve,09/01/2017,10/01/2017,35
dx.dx_210_calcurve,10/01/2017,11/01/2017,44
dx.dx_210_calcurve,11/01/2017,12/01/2017,54
dx.dx_210_calcurve,12/01/2017,01/01/2018,51
dx.dx_210_calcurve,01/01/2018,02/01/2018,66
dx.dx_210_calcurve,02/01/2018,03/01/2018,92
dx.dx_210_calcurve,03/01/2018,04/01/2018,99
dx.dx_210_calcurve,04/01/2018,05/01/2018,115
dx.dx_210_calcurve,05/01/2018,06/01/2018,129
dx.dx_210_calcurve,06/01/2018,07/01/2018,162
dx.dx_210_calcurve,07/01/2018,08/01/2018,182
dx.dx_210_calcurve,08/01/2018,09/01/2018,201
dx.dx_210_calcurve,09/01/2018,10/01/2018,245
dx.dx_210_calcurve,10/01/2018,11/01/2018,290
dx.dx_210_calcurve,11/01/2018,12/01/2018,380
dx.dx_210_calcurve,12/01/2018,01/01/2019,394
dx.dx_210_calcurve,01/01/2019,02/01/2019,469
dx.dx_210_calibrationresultcompletion,05/01/2017,06/01/2017,9
