table,maxdate,mindata
dx.dx_200_alinity_s_calcurve,2019-05-15,2018-01-20
dx.dx_200_alinity_s_experimentprocessing,2019-05-14,2018-01-22
dx.dx_200_alinity_s_iarm,2019-05-16,2018-01-20
dx.dx_200_alinity_s_icbmotormove,2019-05-16,2018-01-20
dx.dx_200_alinity_s_inductionheaterrunprofileresponsedata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_inductionheaterwaveformdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_instrumentactivity,2019-05-16,2018-01-20
dx.dx_200_alinity_s_itvdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_liquidwasterawdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_liquidwastescoredata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_lld,2019-05-16,2018-01-20
dx.dx_200_alinity_s_lldnoise,2019-05-16,2018-06-19
dx.dx_200_alinity_s_messagehistory,2019-05-16,2018-01-20
dx.dx_200_alinity_s_mndhistory,2019-05-15,2018-01-20
dx.dx_200_alinity_s_mndrecorddata,2019-05-15,2018-01-20
dx.dx_200_alinity_s_navigateservicedata,2019-05-16,2019-02-24
dx.dx_200_alinity_s_opticsdispensepmresultdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_opticshighresolutiondata,2019-05-16,2019-02-07
dx.dx_200_alinity_s_oshealthmonitoringdata,2019-05-16,2018-12-16
dx.dx_200_alinity_s_pipettordispensepmrawdata,2019-05-15,2018-08-13
dx.dx_200_alinity_s_pipettordispensepmscoredata,2019-05-15,2019-02-26
dx.dx_200_alinity_s_pipettoroperation,2019-05-16,2018-01-20
dx.dx_200_alinity_s_pipettorpm,2019-05-16,2018-01-20
dx.dx_200_alinity_s_pipettorpmrawdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_pipettorsyringebacklashdata,2019-05-16,2018-06-25
dx.dx_200_alinity_s_pipettorwashpm,2019-05-16,2018-01-20
dx.dx_200_alinity_s_pipettorwashpmrawdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_pipettorwashpmscoredata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_processpath,2019-05-16,2018-01-20
dx.dx_200_alinity_s_reagentoperation,2019-05-16,2018-01-20
dx.dx_200_alinity_s_result,2019-05-16,2018-01-20
dx.dx_200_alinity_s_sampleoperation,2019-05-16,2018-01-20
dx.dx_200_alinity_s_scripting,2019-05-15,2018-01-20
dx.dx_200_alinity_s_systemoperation,2019-05-16,2018-01-20
dx.dx_200_alinity_s_teknicmotor,2019-05-16,2018-01-20
dx.dx_200_alinity_s_temperaturedata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_triggerpretriggerrawdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_triggerpretriggerscoredata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_wampmresultdata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_washstationevacuationpmresultdata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_washzoneaspirationpmrawdata,2019-05-16,2018-01-20
dx.dx_200_alinity_s_washzoneaspirationpmscoredata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_washzonedispensepmresultdata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_washzonedispensepmscoredata,2019-05-16,2018-01-21
dx.dx_200_alinity_s_washzoneinitvacuumpressuredata,2019-05-16,2018-02-06
dx.dx_205_assayactivity,2018-11-09,2017-05-24
dx.dx_205_assayactivitycc,2018-09-24,2017-09-29
dx.dx_205_calcurve,2019-02-13,2017-05-24
dx.dx_205_calibrationresultcompletion,2019-02-13,2017-05-24
dx.dx_205_ccaspirationpm,2018-09-07,2018-09-07
dx.dx_205_ccbulksolutionconsumeddata,2018-09-14,2018-07-19
dx.dx_205_cccuvettewashwatervolumedata,2018-09-14,2018-09-14
dx.dx_205_ccdispensepm,2018-09-07,2018-07-18
dx.dx_205_ccphotodata,2018-08-23,2018-07-19
dx.dx_205_ccpipettorpmrawdata,2018-10-03,2018-10-03
dx.dx_205_ccreagentaspirationotherdata,2018-10-03,2018-10-03
dx.dx_205_ccreagentaspirationpcidata,2018-10-03,2018-10-03
dx.dx_205_ccreagentcarouselcoolertemperaturedata,2018-09-14,2018-09-14
dx.dx_205_ccreagentcarouselteknicmotordata,2018-09-14,2018-09-14
dx.dx_205_ccreagentdispenseotherdata,2018-10-03,2018-03-30
dx.dx_205_ccreagentdispensepcidata,2018-10-03,2018-03-30
