dx table,max time
dx_205_assayactivity,2018-11-09
dx_205_assayactivitycc,2018-09-24
dx_205_calcurve,2019-02-13
dx_205_calibrationresultcompletion,2019-02-13
dx_205_ccaspirationpm,2018-09-07
dx_205_ccbulksolutionconsumeddata,2018-09-14
dx_205_cccuvettewashwatervolumedata,2018-09-14
dx_205_ccdispensepm,2018-09-07
dx_205_ccphotodata,2018-08-23
dx_205_ccpipettorpmrawdata,2018-10-03
dx_205_ccreagentaspirationotherdata,2018-10-03
dx_205_ccreagentaspirationpcidata,2018-10-03
dx_205_ccreagentcarouselcoolertemperaturedata,2018-09-14
dx_205_ccreagentcarouselteknicmotordata,2018-09-14
dx_205_ccreagentdispenseotherdata,2018-10-03
dx_205_ccreagentdispensepcidata,2018-10-03
dx_205_ccreagentwashotherdata,2018-10-03
dx_205_ccreagentwashpcidata,2018-10-03
dx_205_ccsampleaspirationotherdata,2018-10-03
dx_205_ccsampleaspirationpcidata,2018-10-03
dx_205_ccsampledispenseotherdata,2018-10-03
dx_205_ccsampledispensepcidata,2018-07-10
dx_205_ccsamplewashotherdata,2018-10-03
dx_205_ccsamplewashpcidata,2018-10-03
dx_205_ccwashpm,2018-09-07
dx_205_constituentdata,2019-02-13
dx_205_experimentprocessing,2019-02-13
dx_205_heaterdutycycledata,2019-02-13
dx_205_iarm,2019-02-13
dx_205_icbmotormove,2019-02-13
dx_205_inductionheaterrunprofileresponsedata,2019-02-13
dx_205_inductionheaterwaveformdata,2019-02-13
dx_205_instrumentactivity,2019-02-13
dx_205_itvdata,2019-02-13
dx_205_lld,2019-03-10
dx_205_lldcc,2018-08-23
dx_205_lldnoise,2018-11-10
dx_205_lldnoisedata,2019-03-10
dx_205_mndhistory,2019-02-13
dx_205_mndrecorddata,2019-02-13
dx_205_navigateservicedata,2018-09-22
dx_205_opticsrawdata,2019-02-13
dx_205_oshealthmonitoringdata,2018-10-16
dx_205_pipettorsyringebacklashdata,2019-02-13
dx_205_pmrawdata,2019-02-13
dx_205_reagentcoolerdata,2019-02-13
dx_205_reagentoperation,2019-02-13
dx_205_scripting,2019-02-13
dx_205_teknicmotor,2019-02-13
dx_205_temperaturedata,2019-02-13
dx_205_vacuumpressuredata,2019-02-13
dx_205_wambulkdata,2019-02-13
dx_205_wamdata,2019-03-10
dx_210_assayactivity,2018-02-14
dx_210_assayactivitycc,2019-02-13
dx_210_calcurve,2019-02-13
dx_210_calibrationresultcompletion,2019-02-13
dx_210_ccaspirationpm,2019-02-13
dx_210_ccbulksolutionconsumeddata,2019-02-13
dx_210_ccbulksolutionmonitordata,2019-02-13
dx_210_ccbulksolutionusagestatusdata,2019-02-13
dx_210_cccuvettewashwatervolumedata,2019-02-13
dx_210_ccdispensepm,2019-03-10
dx_210_cclampmonitordata,2019-02-13
dx_210_ccopticsadjusttriggersensordata,2019-02-13
dx_210_ccphotodata,2019-02-13
dx_210_ccpipettorpmrawdata,2018-11-08
dx_210_ccreagentaspirationotherdata,2018-11-08
dx_210_ccreagentaspirationpcidata,2018-11-08
dx_210_ccreagentcarouselcoolertemperaturedata,2019-02-13
dx_210_ccreagentcarouselteknicmotordata,2019-02-13
dx_210_ccreagentdispenseotherdata,2018-11-08
dx_210_ccreagentdispensepcidata,2018-11-08
dx_210_ccreagentwashotherdata,2018-11-08
dx_210_ccreagentwashpcidata,2018-11-08
dx_210_ccsampleaspirationotherdata,2018-11-08
dx_210_ccsampleaspirationpcidata,2018-11-08
dx_210_ccsampledispenseotherdata,2018-11-08
dx_210_ccsampledispensepcidata,2018-02-21
dx_210_ccsamplewashotherdata,2018-11-08
dx_210_ccsamplewashpcidata,2018-11-08
dx_210_ccwashpm,2019-02-13
dx_210_ccwaterbathrefilldata,2019-02-13
dx_210_constituentdata,2019-02-13
dx_210_experimentprocessing,2019-02-12
dx_210_heaterdutycycledata,2018-08-31
dx_210_iarm,2018-07-24
dx_210_icbmotormove,2018-12-31
dx_210_instrumentactivity,2019-02-13
dx_210_itvdata,2018-07-25
dx_210_lld,2018-07-23
dx_210_lldcc,2019-02-13
dx_210_messagehistory,2019-03-10
dx_210_mndhistory,2019-02-13
