DX TABLE, MAX TIMESTAMP
dx_205_alinity_i_assayactivity,2018-11-09
dx_205_alinity_i_assayactivitycc,2018-09-24
dx_205_alinity_i_calcurve,2019-04-08
dx_205_alinity_i_calibrationresultcompletion,2019-04-08
dx_205_alinity_i_ccaspirationpm,2018-09-07
dx_205_alinity_i_ccbulksolutionconsumeddata,2018-09-14
dx_205_alinity_i_cccuvettewashwatervolumedata,2018-09-14
dx_205_alinity_i_ccdispensepm,2018-09-07
dx_205_alinity_i_ccphotodata,2018-08-23
dx_205_alinity_i_ccpipettorpmrawdata,2018-10-03
dx_205_alinity_i_ccreagentaspirationotherdata,2018-10-03
dx_205_alinity_i_ccreagentaspirationpcidata,2018-10-03
dx_205_alinity_i_ccreagentcarouselcoolertemperaturedata,2018-09-14
dx_205_alinity_i_ccreagentcarouselteknicmotordata,2018-09-14
dx_205_alinity_i_ccreagentdispenseotherdata,2018-10-03
dx_205_alinity_i_ccreagentdispensepcidata,2018-10-03
dx_205_alinity_i_ccreagentwashotherdata,2018-10-03
dx_205_alinity_i_ccreagentwashpcidata,2018-10-03
dx_205_alinity_i_ccsampleaspirationotherdata,2018-10-03
dx_205_alinity_i_ccsampleaspirationpcidata,2018-10-03
dx_205_alinity_i_ccsampledispenseotherdata,2018-10-03
dx_205_alinity_i_ccsampledispensepcidata,2018-07-10
dx_205_alinity_i_ccsamplewashotherdata,2018-10-03
dx_205_alinity_i_ccsamplewashpcidata,2018-10-03
dx_205_alinity_i_ccwashpm,2018-09-07
dx_205_alinity_i_constituentdata,2019-04-08
dx_205_alinity_i_experimentprocessing,2019-04-06
dx_205_alinity_i_heaterdutycycledata,2019-04-08
dx_205_alinity_i_iarm,2019-04-08
dx_205_alinity_i_icbmotormove,2019-04-08
dx_205_alinity_i_inductionheaterrunprofileresponsedata,2019-04-08
dx_205_alinity_i_inductionheaterwaveformdata,2019-04-08
dx_205_alinity_i_instrumentactivity,2019-04-08
dx_205_alinity_i_itvdata,2019-04-08
dx_205_alinity_i_lld,2019-04-08
dx_205_alinity_i_lldcc,2018-08-23
dx_205_alinity_i_lldnoise,2018-11-10
dx_205_alinity_i_lldnoisedata,2019-04-08
dx_205_alinity_i_mndhistory,2019-04-08
dx_205_alinity_i_mndrecorddata,2019-04-08
dx_205_alinity_i_navigateservicedata,2018-09-22
dx_205_alinity_i_opticsrawdata,2019-04-08
dx_205_alinity_i_oshealthmonitoringdata,2018-10-16
dx_205_alinity_i_pipettorsyringebacklashdata,2019-04-08
dx_205_alinity_i_pmrawdata,2019-04-08
dx_205_alinity_i_reagentcoolerdata,2019-04-08
dx_205_alinity_i_reagentoperation,2019-04-08
dx_205_alinity_i_scripting,2019-04-08
dx_205_alinity_i_teknicmotor,2019-04-08
dx_205_alinity_i_temperaturedata,2019-04-08
dx_205_alinity_i_vacuumpressuredata,2019-04-08
dx_205_alinity_i_wambulkdata,2019-04-08
dx_205_alinity_i_wamdata,2019-04-08
