BATCH_NUM,CITY,COUNTRY,CREATED_BY,CUSTOMER,CUSTOMER_NUMBER,DATE_CREATED,DEVICE_ID,DEVICE_VALUE,EXPERIENCE_CODE,FLAG_DATE,FLAG_YN,IHN_LEVEL3_DESC,IS_MANUAL_EXEC,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PHM_PRODUCT_LINE_CODE,PHM_THRESHOLDS_SK,PROCESSID,PRODUCT_FAMILY,REMARKS,RUN_DATE,SN,DUMMY
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","?????????????(??????)","19140-0",10/30/2019 12:58:38 AM,"78774",27862,"A633",10/29/2019 9:14:42 AM,"YES","FE Pressure STATSAMP Pipettor","N",1003,10,116,11,5477205,,,10/30/2019,"ISR50608",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","????????????","28911-1",10/30/2019 12:57:22 AM,"217567",28859,"A635",10/29/2019 11:43:05 AM,"YES","FE Pressure R2 Pipettor","N",1003,13,116,10,5477205,,,10/30/2019,"ISR63538",
"BTH0000","Europe","ITALY","FE PRESSURES ALGORITHM","Policlinico San Donato - Laboratorio Analisi","509297-1",10/30/2019 1:25:32 AM,"16234",36376,"A631",10/29/2019 1:15:16 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR02196",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","?????????????(?????? ?????????)","28833-0",10/30/2019 1:03:27 AM,"71601",31422.5,"A632",10/29/2019 2:33:07 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5477205,,,10/30/2019,"ISR50074",
"BTH0000","Asia Pacific","HONG KONG","FE PRESSURES ALGORITHM","QUEEN MARY HOSPITAL","600476-7",10/30/2019 12:16:58 AM,"20960",29477,"A634",10/29/2019 2:43:53 PM,"YES","FE Pressure R1 Pipettor","N",1003,12,116,9,5477205,,,10/30/2019,"ISR06853",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","????????","10076-0",10/30/2019 1:03:11 AM,"39680",36384,"A632",10/29/2019 3:18:41 PM,"YES","FE Pressure Sample","N",1003,11,116,12,5477205,,,10/30/2019,"ISR08020",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","?????????????????","19230-0",10/30/2019 12:19:53 AM,"84061",36390,"A634",10/29/2019 3:34:20 PM,"YES","FE Pressure R1 Pipettor","N",1003,12,116,9,5477205,,,10/30/2019,"ISR51238",
"BTH0000","Asia Pacific","THAILAND","FE PRESSURES ALGORITHM","SWANPRACHARAK HOSPITAL *","500138-0",10/30/2019 1:40:10 AM,"123621",36386,"A631",10/29/2019 4:02:05 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR53947",
"BTH0000","Asia Pacific","VIETNAM","FE PRESSURES ALGORITHM","LABONA-DN HIGHTECH CLINICS","157PR0168-157",10/30/2019 1:28:27 AM,"78180",28870,"A631",10/29/2019 5:01:40 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR03261",
"BTH0000","Asia Pacific","INDIA","FE PRESSURES ALGORITHM","G.KUPPUSWAMY NAIDU MEMORIAL HO","10022518-0",10/30/2019 1:38:58 AM,"152072",32563,"A631",10/29/2019 11:07:29 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR53352",
"BTH0000","Asia Pacific","INDIA","FE PRESSURES ALGORITHM","PRATHAMA EDUCATIONAL SOCIETY","10021308-0",10/30/2019 1:37:10 AM,"116719",29281.5,"A631",10/29/2019 11:54:26 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR52676",
"BTH0000","Asia Pacific","THAILAND","FE PRESSURES ALGORITHM","CHAOPHRAYA APAI PHUBET HOSPITAL","500345-CHAOPRAYA",10/30/2019 1:39:40 AM,"129536",27300,"A631",10/29/2019 11:58:47 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR53723",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","?????????","27175-0",10/30/2019 1:48:39 AM,"194795",28801,"A631",10/29/2019 11:59:46 PM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR56676",
"BTH0000","Asia Pacific","INDIA","FE PRESSURES ALGORITHM","PRATHAMA EDUCATIONAL SOCIETY","10021308-0",10/30/2019 1:37:11 AM,"116719",29321,"A631",10/30/2019 9:11:33 AM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR52676",
"BTH0000","Asia Pacific","INDIA","FE PRESSURES ALGORITHM","G.KUPPUSWAMY NAIDU MEMORIAL HO","10022518-0",10/30/2019 1:38:59 AM,"152072",32595,"A631",10/30/2019 9:28:06 AM,"YES","i1SR FE Pressure Pipettor","N",1003,9,117,13,5477205,,,10/30/2019,"I1SR53352",
"BTH0000","China","CHINA","FE PRESSURES ALGORITHM","?????????????(??????)","19140-0",10/30/2019 12:58:39 AM,"78774",28122.5,"A633",10/30/2019 10:33:38 AM,"YES","FE Pressure STATSAMP Pipettor","N",1003,10,116,11,5477205,,,10/30/2019,"ISR50608",
"BTH0000","Asia Pacific","PHILIPPINES","FE PRESSURES ALGORITHM","MEDI LINX LABORATORY, INC.","210064-210064",10/30/2019 12:58:05 AM,"186020",27157,"A633",10/30/2019 10:37:22 AM,"YES","FE Pressure STATSAMP Pipettor","N",1003,10,116,11,5477205,,,10/30/2019,"ISR04004",
