sn,sn_count
I1SR02908,0
I1SR03166,0
I1SR03267,0
I1SR03378,0
I1SR03442,0
I1SR51102,0
I1SR52016,0
I1SR52068,0
I1SR52469,0
I1SR53306,0
I1SR60147,0
ISR07359,0
ISR07604,0
ISR50779,0
ISR51534,0
ISR52133,0
ISR52890,0
ISR53580,0
ISR54498,0
ISR54669,0
ISR55193,0
ISR56080,0
ISR60993,0
ISR61466,0
ISR61774,0
ISR62058,0
ISR62065,0
ISR62740,0
ISR63597,0
I1SR02936,1
I1SR50810,1
I1SR55311,1
I1SR56543,1
ISR03183,1
ISR07225,1
ISR54100,1
ISR54572,1
ISR61913,1
I1SR03846,2
I1SR51467,2
ISR04177,2
ISR54639,2
ISR62442,2
I1SR56303,3
ISR51593,3
ISR60855,3
I1SR54263,4
ISR08177,4
ISR50633,4
ISR51922,4
I1SR55027,5
I1SR03746,6
ISR50883,6
ISR03608,7
ISR02803,8
I1SR50957,9
I1SR53085,9
ISR54258,9
ISR05836,10
I1SR53920,11
ISR01628,12
ISR51769,14
ISR53166,15
I1SR50033,16
ISR03283,17
I1SR56610,18
ISR50114,18
I1SR03197,19
ISR52869,19
ISR53323,19
ISR03985,22
ISR62668,22
ISR61161,24
I1SR60749,27
I1SR60619,28
ISR50516,30
ISR62069,31
ISR02863,34
I1SR56469,36
ISR50600,38
ISR06051,45
I1SR53026,48
ISR02871,48
ISR53992,51
ISR62034,51
ISR55147,52
ISR54607,53
ISR61542,56
ISR08382,60
ISR54752,63
ISR07547,67
ISR54380,70
ISR01017,72
ISR51463,72
ISR61598,74
ISR60012,78
ISR61043,79
ISR03776,86
ISR60041,91
ISR55573,92
ISR61258,102
ISR50325,130
ISR60343,133
ISR60522,137
ISR54245,141
ISR03599,157
ISR63106,169
I1SR52398,198
ISR55309,205
ISR61741,310
ISR52288,389
ISR50353,436
ISR51652,995
