COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"TURKEY","ANKARA","ESKISEHIR SEHIR HASTAN","ISR62694","2.1",10/25/2019 1:31:58 PM,"NO","NO","YES"
"JAPAN","?????","BML??","ISR55692","2.1",10/25/2019 11:16:00 PM,"NO","NO","YES"
"AUSTRIA","ST. PÖLTEN","ENML ERSTE NIEDERÖSTER","ISR03071","2.1",10/25/2019 9:06:43 AM,"NO","NO","YES"
"TURKEY","KOCAELI","MEDICAL PARK KOCAELI","ISR04484","2.1",10/25/2019 10:17:54 AM,"NO","YES","NO"
"JAPAN","???","???????","I1SR52204","1.3",10/25/2019 10:20:29 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR62118","2.1",10/25/2019 12:13:22 PM,"NO","NO","YES"
"CZECH REPUBLIC","Praha 8","Nemocnice na Bulovce","ISR55193","2.1",10/25/2019 8:48:01 AM,"YES","NO","NO"
"CHINA","???","??????????","I1SR03746","1.2",10/25/2019 9:02:58 AM,"YES","NO","YES"
"GERMANY","ROSTOCK","LAB SERVICE GMBH","I1SR03267","1.1",10/25/2019 8:33:22 AM,"YES","NO","NO"
"AUSTRALIA","NORTH RYDE","DOUGLASS HANLY MOIR PA","ISR52331","1.2",10/25/2019 12:08:02 AM,"NO","NO","YES"
"CANADA","BURNABY","LIFELABS MEDICAL LAB. ","ISR54555","2.1",10/25/2019 9:13:53 PM,"NO","NO","YES"
"BELGIUM","LIEGE","Labo Dr. J.Collard SPR","I202971","2.1",10/25/2019 2:22:16 PM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR63343","2.1",10/25/2019 6:26:52 PM,"NO","NO","YES"
"BRAZIL","SAO PAULO - SP","AFIP","ISR54890","2.1",10/25/2019 12:08:33 AM,"NO","NO","YES"
"CHINA","???","????????","ISR53650","2.1",10/25/2019 10:04:57 AM,"NO","NO","YES"
"GREECE","A TH I N A I","HIPPOKRATION HOSPITAL","ISR05044","2.1",10/25/2019 11:44:19 AM,"NO","NO","YES"
"SPAIN","PALMA DE MALLORCA","HOSPITAL SON ESPASES","ISR01580","2.1",10/25/2019 12:17:07 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR52946","2.1",10/25/2019 9:31:10 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR51023","2.1",10/25/2019 9:59:52 AM,"NO","NO","YES"
"THAILAND","Thailand","MAHASARAKARM HOSPITAL ","ISR54273","2.1",10/25/2019 4:32:19 PM,"NO","NO","YES"
"TURKEY","NEVSEHIR","NEVSEHIR DR.I.SEVKI AT","ISR50362","1.2",10/25/2019 10:14:08 AM,"YES","NO","NO"
"MALAYSIA","MELAKA","TREE MED - HOSPITAL ME","ISR04953","2.1",10/25/2019 5:10:45 PM,"NO","NO","YES"
"JAPAN","???","??????·??·??","ISR54774","2.1",10/25/2019 10:52:57 AM,"NO","NO","YES"
"TURKEY","KOCAELI","KOCAELI UNIVERSITESI","I1SR54263","1.1",10/25/2019 9:41:13 AM,"YES","NO","NO"
"SPAIN","MADRID","HOSPITAL RAMÓN Y CAJAL","ISR02310","2.1",10/25/2019 2:11:14 PM,"NO","NO","YES"
"TURKEY","AYDIN","ADNAN MENDERS","ISR07200","2.2",10/25/2019 12:35:32 PM,"NO","NO","YES"
"TURKEY","MERSIN","TOROS DEVLET HASTANESI","ISR02137","2.3",10/25/2019 8:48:10 AM,"YES","NO","NO"
"SPAIN","ESTELLA","HOSPITAL DE ESTELLA","ISR02325","1.1",10/25/2019 1:25:15 PM,"NO","NO","YES"
"POLAND","KATOWICE","REGIONALNE CENTRUM","ISR54853","2.1",10/25/2019 2:17:21 PM,"NO","NO","YES"
"FRANCE","ANGERS","LABM LES HAUTS DE SAIN","ISR52557","1.2",10/25/2019 1:02:47 PM,"YES","NO","NO"
"BRAZIL","GOIANIA - GO","LABORATORIO NUCLEO DE ","ISR07832","2.1",10/25/2019 11:44:42 AM,"NO","NO","YES"
