ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
# Low Temperature CM 0665,81,MODULE,CM
# Low Temperature CM 0665,81,ERROR_CODE_VALUE,0665
# Low Temperature CM 0665,81,IHN_LEVEL3_DESC,Low Temperature CM 0665
# Low Temperature CM 0665,81,ALGORITHM_TYPE,ERROR_COUNT
# Low Temperature CM 0665,81,ERROR_COUNT,3
# Low Temperature CM 0665,81,THRESHOLD_DESCRIPTION,3/day for 2 consecutive days
# Low Temperature CM 0665,81,THRESHOLDS_DAYS,2
# Low Temperature CM 0665,81,THRESHOLD_DATA_DAYS,2
# Heater Error SM 909B,82,MODULE,SM
# Heater Error SM 909B,82,ERROR_CODE_VALUE,909B
# Heater Error SM 909B,82,IHN_LEVEL3_DESC,Heater Error SM 909B
# Heater Error SM 909B,82,ALGORITHM_TYPE,ERROR_COUNT
# Heater Error SM 909B,82,ERROR_COUNT,1
# Heater Error SM 909B,82,THRESHOLD_DESCRIPTION,1/day for 2 consecutive days
# Heater Error SM 909B,82,THRESHOLDS_DAYS,2
# Heater Error SM 909B,82,THRESHOLD_DATA_DAYS,2
# Carrier Runaway From Load Gate IOM 04E2,83,MODULE,IOM
# Carrier Runaway From Load Gate IOM 04E2,83,ERROR_CODE_VALUE,04E2
# Carrier Runaway From Load Gate IOM 04E2,83,IHN_LEVEL3_DESC,Carrier Runaway From Load Gate IOM 04E2
# Carrier Runaway From Load Gate IOM 04E2,83,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Runaway From Load Gate IOM 04E2,83,ERROR_COUNT,10
# Carrier Runaway From Load Gate IOM 04E2,83,THRESHOLD_DESCRIPTION,10/day for 2 consecutive days
# Carrier Runaway From Load Gate IOM 04E2,83,THRESHOLDS_DAYS,2
# Carrier Runaway From Load Gate IOM 04E2,83,THRESHOLD_DATA_DAYS,2
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,MODULE,ISR
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,ERROR_CODE_VALUE,5012
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,IHN_LEVEL3_DESC,Carrier At STAT Input Gate in Incorrect Status ISR 5012
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,ALGORITHM_TYPE,ERROR_COUNT
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,ERROR_COUNT,2
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,THRESHOLDS_DAYS,2
# Carrier At STAT Input Gate in Incorrect Status ISR 5012,84,THRESHOLD_DATA_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,MODULE,ISR
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,ERROR_CODE_VALUE,501E
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,IHN_LEVEL3_DESC,Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,ERROR_COUNT,2
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,THRESHOLDS_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E,85,THRESHOLD_DATA_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,MODULE,ISR
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,ERROR_CODE_VALUE,5020
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,IHN_LEVEL3_DESC,Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,ERROR_COUNT,2
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,THRESHOLDS_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020,86,THRESHOLD_DATA_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,MODULE,ISR
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,ERROR_CODE_VALUE,501F
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,IHN_LEVEL3_DESC,Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,ERROR_COUNT,2
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,THRESHOLDS_DAYS,2
# Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F,87,THRESHOLD_DATA_DAYS,2
# Carrier Runaway From Unload Gate IOM 04F8,88,MODULE,IOM
# Carrier Runaway From Unload Gate IOM 04F8,88,ERROR_CODE_VALUE,04F8
# Carrier Runaway From Unload Gate IOM 04F8,88,IHN_LEVEL3_DESC,Carrier Runaway From Unload Gate IOM 04F8
# Carrier Runaway From Unload Gate IOM 04F8,88,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Runaway From Unload Gate IOM 04F8,88,ERROR_COUNT,10
# Carrier Runaway From Unload Gate IOM 04F8,88,THRESHOLD_DESCRIPTION,10/day for 2 consecutive days
# Carrier Runaway From Unload Gate IOM 04F8,88,THRESHOLDS_DAYS,2
# Carrier Runaway From Unload Gate IOM 04F8,88,THRESHOLD_DATA_DAYS,2
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,MODULE,ISR
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,ERROR_CODE_VALUE,5013
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,IHN_LEVEL3_DESC,Carrier Not Arrived at Output Gate from Return Gate ISR 5013
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,ERROR_COUNT,2
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,THRESHOLDS_DAYS,2
# Carrier Not Arrived at Output Gate from Return Gate ISR 5013,89,THRESHOLD_DATA_DAYS,2
# Heater Temperature Limit Exceeded SM 909C,90,MODULE,SM
# Heater Temperature Limit Exceeded SM 909C,90,ERROR_CODE_VALUE,909C
# Heater Temperature Limit Exceeded SM 909C,90,IHN_LEVEL3_DESC,Heater Temperature Limit Exceeded SM 909C
# Heater Temperature Limit Exceeded SM 909C,90,ALGORITHM_TYPE,ERROR_COUNT
# Heater Temperature Limit Exceeded SM 909C,90,ERROR_COUNT,1
# Heater Temperature Limit Exceeded SM 909C,90,THRESHOLD_DESCRIPTION,1/day for 2 consecutive days
# Heater Temperature Limit Exceeded SM 909C,90,THRESHOLDS_DAYS,2
# Heater Temperature Limit Exceeded SM 909C,90,THRESHOLD_DATA_DAYS,2
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,MODULE,ISR
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,ERROR_CODE_VALUE,5014
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,IHN_LEVEL3_DESC,Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,ALGORITHM_TYPE,ERROR_COUNT
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,ERROR_COUNT,2
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,THRESHOLD_DESCRIPTION,2/day for 2 consecutive days
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,THRESHOLDS_DAYS,2
# Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014,91,THRESHOLD_DATA_DAYS,2
