ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COMPLETIONDATE",6,,,"N","DATE",,"Height Balanced",34421168,0,0,,,,False
"ERROR_ID",1,,,"N","INTEGER",,"Height Balanced",222882688,0,0,,,,False
"ERRORCODE",7,,,"Y","VARCHAR2 (10 Byte)",,"Height Balanced",1585,0,0,,,,False
"FILENAME",12,,,"Y","VARCHAR2 (400 Byte)",,"None",65512,0,2E-5,,,,False
"INSTANCEID",5,,,"Y","NUMBER",,"Frequency",24,0,0,,,,False
"LAYOUT_NODES_ID",2,,"1","N","INTEGER",,"Height Balanced",4356,0,0,,,,False
"LOADDATE",11,,,"N","DATE",,"Height Balanced",58087,0,0,,,,False
"MOREINFO",9,,,"Y","VARCHAR2 (256 Byte)",,"None",31632,0,3E-5,,,,False
"NODEID",3,,"3","Y","NUMBER",,"Frequency",88,0,0,,,,False
"NODETYPE",4,,"2","Y","VARCHAR2 (5 Byte)",,"Frequency",47,0,0,,,,False
"OFF_LINE",10,,,"Y","VARCHAR2 (5 Byte)",,"None",2,0,0.5,,,,False
"SAMPLEID",8,,,"Y","VARCHAR2 (4000 Byte)",,"Height Balanced",9012988,158434876,0,,,,False
