ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COLLECTION_DATE",17,,,"Y","DATE",,"None",0,1094951,0,,,,False
"COUNTER_DATE",14,,,"Y","DATE",,"Height Balanced",403,0,0,,,,False
"COUNTER_ID",1,,,"N","INTEGER",,"None",1094951,0,0,,,,False
"DISPOSED_PREVIOUSDAYS",13,,,"Y","NUMBER (10)",,"None",28166,0,4E-5,,,,False
"DISPOSED_TODAY",12,,,"Y","NUMBER (10)",,"None",4246,0,0.00024,,,,False
"FILENAME",16,,,"Y","VARCHAR2 (400 Byte)",,"Height Balanced",38882,0,0,,,,False
"GATES_PREVIOUSDAYS",7,,,"Y","NUMBER (10)",,"None",539947,0,0,,,,False
"GATES_TODAY",6,,,"Y","NUMBER (10)",,"None",91104,0,1E-5,,,,False
"INSTANCEID",5,,,"Y","NUMBER",,"Frequency",28,0,0,,,,False
"LAYOUT_NODES_ID",2,,"1","N","INTEGER",,"Height Balanced",4141,0,0,,,,False
"LOADDATE",15,,,"N","DATE",,"None",38235,0,3E-5,,,,False
"NODEID",3,,"3","Y","NUMBER",,"Frequency",88,0,0,,,,False
"NODETYPE",4,,"2","Y","VARCHAR2 (5 Byte)",,"Frequency",44,0,0,,,,False
"TUBES_PREVIOUSDAYS",9,,,"Y","NUMBER (10)",,"None",301886,0,0,,,,False
"TUBES_TODAY",8,,,"Y","NUMBER (10)",,"Height Balanced",7469,0,0,,,,False
"UNLOADED_PREVIOUSDAYS",11,,,"Y","NUMBER (10)",,"None",116070,0,1E-5,,,,False
"UNLOADED_TODAY",10,,,"Y","NUMBER (10)",,"None",5170,0,0.00019,,,,False
