ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COLLECTION_DATE",10,,,"Y","DATE",,"None",11416,1507752,9E-5,,,,False
"DATE_ON_LOG_FILE",9,,,"Y","DATE",,"None",846,0,0.00118,,,,False
"DEVICE_ID",8,,,"Y","NUMBER",,"Frequency",142,0,0,,,,False
"ERROR_DESCRIPTION",5,,,"Y","VARCHAR2 (200 Byte)",,"Frequency",148,1516015,1E-5,,,,False
"FILE_NAME",3,,,"N","VARCHAR2 (50 Byte)",,"Height Balanced",768576,0,2E-5,,,,False
"FILEID",2,2,"2","N","NUMBER",,"Height Balanced",3141788,0,0,,,,False
"PROCESS_CODE",4,,,"Y","CHAR (1 Byte)",,"Frequency",2,0,0,,,,False
"PROCESS_END_DATE",7,,,"Y","DATE",,"None",226288,0,0,,,,False
"PROCESS_START_DATE",6,,,"Y","DATE",,"None",220800,0,0,,,,False
"ZIPID",1,1,"1","N","NUMBER",,"Height Balanced",89720,0,0.0001,,,,False
