SQL Statement which produced this data:
  SELECT 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK,
      PTT.THRESHOLD_NUMBER,
      PTT.THRESHOLD_NUMBER_UNIT,
      PTT.THRESHOLD_NUMBER_DESC,
      PP.PHM_PATTERNS_SK,
      PP.PATTERN_DESCRIPTION,
      PTT.THRESHOLD_ALERT,
      PTT.THRESHOLD_TYPE, 
      PTT.THRESHOLD_DATA_DAYS
  FROM 
      svc_phm_owner.PHM_PATTERNS PP, 
      svc_phm_owner.PHM_THRESHOLDS PTT 
  WHERE 
      PP.PHM_PATTERNS_SK = PTT.PHM_PATTERNS_SK
  AND 
      PP.PHM_ALGORITHM_DEFINITIONS_SK = PTT.PHM_ALGORITHM_DEFINITIONS_SK 
  -- AND 
      -- PP.PHM_ALGORITHM_DEFINITIONS_SK in ( 1060 )
  ORDER BY 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK;

PHM_ALGORITHM_DEFINITIONS_SK,PHM_THRESHOLDS_SK,THRESHOLD_NUMBER,THRESHOLD_NUMBER_UNIT,THRESHOLD_NUMBER_DESC,PHM_PATTERNS_SK,PATTERN_DESCRIPTION,THRESHOLD_ALERT,THRESHOLD_TYPE,THRESHOLD_DATA_DAYS
1001,4,250,"2","Avg Dark count > 250",5,"Dark Count average exceeded","Dark Count >250","AVG",2
1001,5,100,"2","Standard deviation exceeds > 100",4,"Dark Count standard deviation exceeded","Dark Count SD >100","SD",2
1002,282,1,"2","1/day - 2 consecutive days",10000,"Automated Refrigerator: Error 27: Rack Transfer Failed (Barrier Sensor Check)","Automated Refrigerator: Error 27: Rack Transfer Failed (Barrier Sensor Check)","CONSECUTIVE",2
1002,283,1,"2","1/day - 2 consecutive days",10001,"Automated Refrigerator: Error 28: Automated Refrigerator Barrier Failure","Automated Refrigerator: Error 28: Automated Refrigerator Barrier Failure","CONSECUTIVE",2
1002,284,1,"1","1/day",10002,"Automated Refrigerator: Error 63:","Automated Refrigerator: Error 63:","COUNT",1
1002,285,5,"2","5/day - 2 consecutive days",10003,"Carrier Did Not Pass - Aliquoter Divert","Carrier Did Not Pass - Aliquoter Divert","CONSECUTIVE",2
1002,286,5,"2","5/day - 2 consecutive days",10004,"Carrier Did Not Pass - Centrifuge 2 Gate A","Carrier Did Not Pass - Centrifuge 2 Gate A","CONSECUTIVE",2
1002,287,5,"2","5/day - 2 consecutive days",10005,"Carrier Did Not Pass - Centrifuge 2 Gate B","Carrier Did Not Pass - Centrifuge 2 Gate B","CONSECUTIVE",2
1002,288,5,"2","5/day - 2 consecutive days",10006,"Carrier Did Not Pass - Centrifuge 2 Gate C","Carrier Did Not Pass - Centrifuge 2 Gate C","CONSECUTIVE",2
1002,289,5,"2","5/day - 2 consecutive days",10007,"Carrier Did Not Pass - Centrifuge Gate A","Carrier Did Not Pass - Centrifuge Gate A","CONSECUTIVE",2
