SQL Statement which produced this data:
  SELECT 
     ROWID, PHM_ALGORITHM_IHN_SK, PHM_ALGORITHM_DEFINITIONS_SK, PHM_PATTERNS_SK, 
     IHN_CODE, IHN_LEVEL_1_DESCRIPTION, APP_AUDITS_CREATE_USER, 
     APP_AUDITS_MODIFY_USER, IHN_LEVEL_2_DESCRIPTION, IHN_LEVEL_3_DESCRIPTION, 
     DELETE_FLAG, APP_AUDITS_CREATE_DATE, APP_AUDITS_MODIFY_DATE, 
     ISSUE_DESCRIPTION
  FROM SVC_PHM_OWNER.PHM_ALGORITHM_IHNS;

PHM_ALGORITHM_IHN_SK,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,IHN_CODE,IHN_LEVEL_1_DESCRIPTION,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,IHN_LEVEL_2_DESCRIPTION,IHN_LEVEL_3_DESCRIPTION,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE,ISSUE_DESCRIPTION
1431,20250,20251,"PHN_APA_3050_5",,"CHANDSN","LIJX8",,,"N","7/24/2018 4:39:53.000000 PM","2/25/2019 6:21:11.000000 PM",
1432,20251,20252,"PHN_APA_3700_9",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:03:24.000000 PM","7/24/2019 5:36:54.000000 PM",
1433,20252,20253,"PHN_APA_5303_1",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:10:26.000000 PM","7/24/2019 5:42:46.000000 PM",
1434,20253,20254,"PHN_APA_5409_1",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:14:40.000000 PM","9/18/2019 3:18:14.000000 PM",
1435,20254,20255,"PHN_APA_5503_7",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:31:54.000000 PM","7/24/2019 6:22:12.000000 PM",
1436,20255,20256,"PHN_APA_5503_8",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:40:23.000000 PM","7/24/2019 6:23:59.000000 PM",
1437,20256,20257,"PHN_APA_5503_9",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:44:40.000000 PM","7/24/2019 6:24:56.000000 PM",
1438,20257,20258,"PHN_APA_5900_14",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:48:58.000000 PM","7/24/2019 6:34:43.000000 PM",
1439,20258,20259,"PHN_APA_5900_15",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:51:58.000000 PM","7/24/2019 6:54:15.000000 PM",
1440,20259,20260,"PHN_APA_5409_2",,"CHANDSN","LIJX8",,,"N","7/24/2018 5:57:47.000000 PM","9/18/2019 3:16:19.000000 PM",
1441,20260,20261,"PHN_APA_5409_3",,"CHANDSN","LIJX8",,,"N","7/24/2018 6:03:51.000000 PM","9/18/2019 3:14:36.000000 PM",
361,1140,341,"PHN00066_IA","PHN_Architect_IA","CHANDSN","CHANDSN","PHN00066_IA",,"N","5/3/2017 1:33:18.000000 PM","2/11/2018 11:31:19.000000 PM",
362,1141,342,"PHN00066_CC","PHN_Architect_CC","CHANDSN","CHANDSN","PHN00066_CC",,"N","5/3/2017 1:37:40.000000 PM","2/12/2018 12:01:06.000000 AM",
270,1080,281,"PHN00045","PHN_APS/a3600_i","JOYSX1","CHANDSN","PHN00045",,"N","10/9/2016 7:23:20.000000 PM","1/13/2018 8:35:07.000000 PM",
381,1160,361,"PHN00067_IA","PHN_Architect_IA","HEITZRP","CHANDSN","PHN00067_IA",,"N","5/5/2017 9:31:31.000000 AM","1/14/2018 12:33:58.000000 PM",
941,1380,10401,,,"CHANDSN","KHANDMX5",,,"N","2/11/2018 10:36:57.000000 PM","10/5/2018 2:13:16.000000 PM",
942,1381,10402,,,"CHANDSN","CHANDSN",,,"N","2/11/2018 11:42:50.000000 PM","6/30/2018 9:35:32.000000 PM",
1411,20230,20231,"PHN_Alinity IA_CCE1",,"CHANDSN","CHANDSN",,,"N","7/24/2018 12:07:45.000000 PM","7/24/2018 12:16:11.000000 PM",
1412,20231,20232,"PHN_Alinity IA_CCE2",,"CHANDSN","CHANDSN",,,"N","7/24/2018 12:37:11.000000 PM","7/24/2018 12:40:14.000000 PM",
301,1060,261,"PHN00014","PHN_APS/a3600_i","JOYSX1","CHANDSN","PHN00014",,"N","10/9/2016 9:57:46.000000 AM","1/13/2018 8:29:06.000000 PM",
302,1061,262,"PHN00001","PHN_Architect_IA","JOYSX1","CHANDSN","PHN00001",,"N","10/9/2016 11:06:57.000000 AM","7/31/2019 4:28:22.000000 PM",
303,1062,263,"PHN00001","PHN_Architect_IA","JOYSX1","CHANDSN","PHN00001",,"N","10/9/2016 11:16:36.000000 AM","7/31/2019 4:26:59.000000 PM",
304,1063,264,"PHN00002","PHN_Architect_IA","JOYSX1","CHANDSN","PHN00002",,"N","10/9/2016 11:36:48.000000 AM","7/31/2019 4:24:47.000000 PM",
305,1064,265,"PHN00004","PHN_Architect_IA","JOYSX1","CHANDSN","PHN00004",,"N","10/9/2016 11:52:54.000000 AM","1/13/2018 9:10:53.000000 PM",
306,1065,266,"PHN00005","PHN_Architect_IA","JOYSX1","CHANDSN","PHN00005",,"N","10/9/2016 12:03:22.000000 PM","2/15/2018 10:46:43.000000 AM",
1323,20142,20143,,,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:09:40.000000 PM","6/28/2018 4:17:27.000000 PM",
1324,20143,20144,"PHN_Alinity_IA_CC74",,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:26:34.000000 PM","6/28/2018 4:37:44.000000 PM",
1325,20144,20145,"PHN_Alinity_IA_CC75",,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:41:36.000000 PM","6/28/2018 4:42:22.000000 PM",
1326,20145,20146,"PHN_Alinity_IA_CC76",,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:45:58.000000 PM","6/28/2018 4:46:23.000000 PM",
1327,20146,20147,"PHN_Alinity_IA_CC84",,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:50:03.000000 PM","6/28/2018 4:50:39.000000 PM",
1328,20147,20148,"PHN_Alinity_IA_CC85",,"CHANDSN","CHANDSN",,,"N","6/28/2018 4:55:00.000000 PM","6/28/2018 4:55:28.000000 PM",
1329,20148,20149,"PHN_Alinity_IA_CC86",,"CHANDSN","CHANDSN",,,"N","6/28/2018 5:00:43.000000 PM","6/28/2018 5:02:04.000000 PM",
1330,20149,20150,,,"CHANDSN","CHANDSN",,,"N","6/28/2018 5:16:03.000000 PM","6/28/2018 5:26:44.000000 PM",
1331,20150,20151,"PHN_Alinity IA_CCJ2",,"CHANDSN","CHANDSN",,,"N","6/28/2018 5:31:19.000000 PM","6/28/2018 5:31:37.000000 PM",
