sn,dt,dt_max
ABT018,2019-10-29 00:00:00,2019-10-29 23:04:12
ABT023,2019-10-29 00:00:00,2019-10-29 23:59:07
ABT027,2019-10-29 00:00:00,2019-10-29 23:57:08
ABT050,2019-10-29 00:00:00,2019-10-29 23:55:49
ABT051,2019-10-29 00:00:00,2019-10-29 23:59:23
ABT054,2019-10-29 00:00:00,2019-10-29 23:59:29
ABT059,2019-10-29 00:00:00,2019-10-29 23:58:31
ABT062,2019-10-29 00:00:00,2019-10-29 23:59:53
ABT063,2019-10-29 00:00:00,2019-10-29 23:59:31
ABT068,2019-10-29 00:00:00,2019-10-29 23:56:19
ABT069,2019-10-29 00:00:00,2019-10-29 23:59:56
ABT074,2019-10-29 00:00:00,2019-10-29 23:27:48
ABT078,2019-10-29 00:00:00,2019-10-29 23:59:23
ABT083,2019-10-29 00:00:00,2019-10-29 23:58:31
ABT089,2019-10-29 00:00:00,2019-10-29 19:19:17
ABT096,2019-10-29 00:00:00,2019-10-29 23:59:30
ABT099,2019-10-29 00:00:00,2019-10-29 23:55:42
ABT100,2019-10-29 00:00:00,2019-10-29 23:59:22
ABT110,2019-10-29 00:00:00,2019-10-29 23:58:33
ABT113,2019-10-29 00:00:00,2019-10-29 23:59:59
ABT114,2019-10-29 00:00:00,2019-10-29 23:56:41
ABT117,2019-10-29 00:00:00,2019-10-29 23:27:52
ABT118,2019-10-29 00:00:00,2019-10-29 23:44:41
ABT119,2019-10-29 00:00:00,2019-10-29 23:16:56
ABT120,2019-10-29 00:00:00,2019-10-29 23:42:55
ABT123,2019-10-29 00:00:00,2019-10-29 23:59:22
ABT124,2019-10-29 00:00:00,2019-10-29 23:53:14
ABT125,2019-10-29 00:00:00,2019-10-29 23:55:56
ABT127,2019-10-29 00:00:00,2019-10-29 23:54:20
ABT128,2019-10-29 00:00:00,2019-10-29 23:57:50
ABT129,2019-10-29 00:00:00,2019-10-29 23:59:52
ABT131,2019-10-29 00:00:00,2019-10-29 23:59:34
ABT132,2019-10-29 00:00:00,2019-10-29 23:58:38
ABT133,2019-10-29 00:00:00,2019-10-29 23:58:36
ABT137,2019-10-29 00:00:00,2019-10-29 23:49:38
ABT138,2019-10-29 00:00:00,2019-10-29 23:58:45
ABT139,2019-10-29 00:00:00,2019-10-29 23:54:23
ABT140,2019-10-29 00:00:00,2019-10-29 23:59:02
ABT143,2019-10-29 00:00:00,2019-10-29 23:58:15
ABT144,2019-10-29 00:00:00,2019-10-29 23:59:23
ABT146,2019-10-29 00:00:00,2019-10-29 23:57:10
ABT149,2019-10-29 00:00:00,2019-10-29 23:56:34
ABT150,2019-10-29 00:00:00,2019-10-29 23:59:32
ABT151,2019-10-29 00:00:00,2019-10-29 23:59:12
ABT152,2019-10-29 00:00:00,2019-10-29 23:58:32
ABT153,2019-10-29 00:00:00,2019-10-29 23:40:15
ABT156,2019-10-29 00:00:00,2019-10-29 23:59:42
ABT157,2019-10-29 00:00:00,2019-10-29 23:59:58
ABT159,2019-10-29 00:00:00,2019-10-29 23:47:52
