SN,DT,DT_MAX
"ABT018",10/29/2019,10/29/2019 11:04:12 PM
"ABT023",10/29/2019,10/30/2019 12:00:24 AM
"ABT027",10/29/2019,10/29/2019 11:57:08 PM
"ABT050",10/29/2019,10/29/2019 11:55:49 PM
"ABT051",10/29/2019,10/29/2019 11:59:23 PM
"ABT054",10/29/2019,10/30/2019 12:00:02 AM
"ABT059",10/29/2019,10/29/2019 11:58:31 PM
"ABT062",10/29/2019,10/30/2019
"ABT063",10/29/2019,10/29/2019 11:59:31 PM
"ABT068",10/29/2019,10/29/2019 11:56:19 PM
"ABT069",10/29/2019,10/29/2019 11:59:56 PM
"ABT074",10/29/2019,10/29/2019 11:27:48 PM
"ABT078",10/29/2019,10/29/2019 11:59:23 PM
"ABT083",10/29/2019,10/30/2019 7:37:23 AM
"ABT089",10/29/2019,10/29/2019 7:19:17 PM
"ABT099",10/29/2019,10/29/2019 11:55:42 PM
"ABT100",10/29/2019,10/29/2019 11:59:22 PM
"ABT110",10/29/2019,10/29/2019 11:58:33 PM
"ABT113",10/29/2019,10/30/2019 10:11:44 AM
"ABT114",10/29/2019,10/29/2019 11:56:41 PM
"ABT117",10/29/2019,10/29/2019 11:27:52 PM
"ABT118",10/29/2019,10/29/2019 11:44:41 PM
"ABT119",10/29/2019,10/29/2019 11:16:56 PM
"ABT120",10/29/2019,10/30/2019 6:50:45 AM
"ABT123",10/29/2019,10/30/2019 1:29:35 AM
"ABT124",10/29/2019,10/29/2019 11:53:14 PM
"ABT125",10/29/2019,10/29/2019 11:55:56 PM
"ABT127",10/28/2019,10/29/2019 3:45:38 PM
"ABT128",10/29/2019,10/29/2019 11:57:50 PM
"ABT129",10/29/2019,10/30/2019 4:18:22 AM
"ABT131",10/29/2019,10/29/2019 11:59:34 PM
"ABT132",10/29/2019,10/30/2019 12:00:03 AM
"ABT133",10/29/2019,10/29/2019 11:58:36 PM
"ABT137",10/29/2019,10/29/2019 11:49:38 PM
"ABT138",10/29/2019,10/29/2019 11:58:45 PM
"ABT139",10/29/2019,10/29/2019 11:54:23 PM
"ABT140",10/29/2019,10/29/2019 11:59:02 PM
"ABT143",10/29/2019,10/29/2019 11:58:15 PM
"ABT144",10/29/2019,10/29/2019 11:59:23 PM
"ABT146",10/29/2019,10/29/2019 11:57:10 PM
"ABT147",10/29/2019,10/29/2019 10:03:50 PM
"ABT149",10/29/2019,10/29/2019 11:56:34 PM
"ABT150",10/29/2019,10/29/2019 11:59:32 PM
"ABT151",10/29/2019,10/29/2019 11:59:12 PM
"ABT152",10/29/2019,10/29/2019 11:58:32 PM
"ABT153",10/29/2019,10/29/2019 11:40:15 PM
"ABT156",10/29/2019,10/29/2019 11:59:42 PM
"ABT157",10/29/2019,10/29/2019 11:59:58 PM
"ABT159",10/29/2019,10/29/2019 11:47:52 PM
