architect_deviceid,architect_moduleserial,architect_productline,cuvettenumber,primarywavelength,primarywavelengthreads,transaction_date,dummy
126855,c401309,128,79,340,34 32734 1.1632 1.0905 1.0791 1.0742 1.0717 1.0701 1.0690 1.0685 1.0683 1.0685 1.0669 1.0673 1.0670 1.0671 1.0663 1.0668 1.1396 1.1161 1.1139 1.1120 1.1095 1.1083 1.1068 1.1040 1.1029 1.1013 1.0992 1.0981 1.0959 1.0942 1.0928 1.0723 1.0715,2019-11-11,
144152,c401566,128,93,340,34 34342 1.2454 1.1636 1.1575 1.1557 1.1527 1.1509 1.1498 1.1495 1.1493 1.1485 1.1486 1.1477 1.1475 1.1470 1.1474 1.1474 1.1088 1.0932 1.0913 1.0900 1.0887 1.0880 1.0866 1.0850 1.0842 1.0833 1.0821 1.0812 1.0803 1.0789 1.0778 0.7004 0.7108,2019-11-11,
144152,c401566,128,59,340,34 34420 1.2431 1.1426 1.1298 1.1240 1.1200 1.1164 1.1143 1.1130 1.1105 1.1104 1.1094 1.1087 1.1087 1.1078 1.1079 1.1075 1.0748 1.0616 1.0588 1.0574 1.0569 1.0557 1.0543 1.0518 1.0512 1.0500 1.0485 1.0477 1.0467 1.0459 1.0447 0.8142 0.8162,2019-11-11,
148994,c1600995,127,178,404,24 41099 0.0680 0.0251 0.0234 0.0233 0.0232 0.0230 0.0231 0.0232 0.0232 0.0232 0.0232 0.0233 0.0232 0.0233 0.0232 0.0233 0.7036 0.6892 0.7084 0.7263 0.7481 0.7655 0.7821,2019-11-11,
208298,c899007,126,5,404,34 47662 0.3726 0.3041 0.2987 0.3069 0.3109 0.3139 0.3150 0.3149 0.3144 0.3145 0.3136 0.3122 0.3117 0.3108 0.3098 0.3100 1.1438 1.0257 1.0475 1.0645 1.0796 1.0949 1.1153 1.1523 1.1462 1.1576 1.1715 1.1850 1.1987 1.2121 1.2250 1.2377 1.2499,2019-11-11,
148994,c1600995,127,170,404,24 40572 0.1133 0.0423 0.0401 0.0399 0.0398 0.0396 0.0396 0.0396 0.0396 0.0399 0.0397 0.0396 0.0396 0.0395 0.0395 0.0395 0.6866 0.6838 0.6996 0.7151 0.7340 0.7545 0.7784,2019-11-11,
144152,c401566,128,13,340,34 34421 0.3414 0.3116 0.3069 0.3055 0.3055 0.3051 0.3055 0.3057 0.3065 0.3065 0.3066 0.3067 0.3067 0.3069 0.3075 0.3072 0.2871 0.2700 0.2714 0.2745 0.2767 0.2801 0.2825 0.2859 0.2887 0.2917 0.2948 0.2980 0.3006 0.3039 0.3069 0.2597 0.2634,2019-11-11,
148994,c1600995,127,294,404,24 39542 0.1165 0.0276 0.0261 0.0259 0.0252 0.0255 0.0266 0.0253 0.0250 0.0253 0.0255 0.0262 0.0253 0.0251 0.0255 0.0263 0.6867 0.6812 0.6946 0.7068 0.7185 0.7300 0.7477,2019-11-11,
148994,c1600995,127,300,404,24 41014 0.0978 0.0238 0.0216 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0214 0.0215 0.0214 0.6810 0.6746 0.6898 0.7040 0.7171 0.7298 0.7468,2019-11-11,
144152,c401566,128,35,340,34 34460 1.2615 1.1884 1.1838 1.1814 1.1802 1.1787 1.1784 1.1790 1.1790 1.1776 1.1777 1.1788 1.1788 1.1787 1.1785 1.1787 1.2371 1.2158 1.2131 1.2117 1.2104 1.2090 1.2077 1.2065 1.2051 1.2038 1.2033 1.2026 1.2020 1.2005 1.1993 0.8170 0.8151,2019-11-11,
144152,c401566,128,38,340,34 34326 1.2302 1.1515 1.1435 1.1396 1.1385 1.1371 1.1348 1.1341 1.1335 1.1331 1.1330 1.1333 1.1332 1.1322 1.1321 1.1321 1.0954 1.0803 1.0787 1.0759 1.0746 1.0739 1.0717 1.0710 1.0693 1.0685 1.0674 1.0656 1.0646 1.0635 1.0622 0.7082 0.7105,2019-11-11,
144152,c401566,128,94,340,34 34346 1.2555 1.1985 1.1931 1.1906 1.1899 1.1891 1.1884 1.1884 1.1887 1.1885 1.1883 1.1886 1.1894 1.1890 1.1885 1.1882 1.2415 1.2197 1.2174 1.2162 1.2158 1.2149 1.2138 1.2132 1.2127 1.2116 1.2109 1.2099 1.2093 1.2080 1.2068 1.0072 1.0089,2019-11-11,
148994,c1600995,127,256,404,24 41136 0.1512 0.0408 0.0377 0.0371 0.0374 0.0373 0.0373 0.0372 0.0373 0.0373 0.0373 0.0373 0.0373 0.0373 0.0373 0.0373 0.7039 0.7007 0.7152 0.7286 0.7414 0.7542 0.7711,2019-11-11,
148994,c1600995,127,266,404,24 41155 0.0497 0.0228 0.0211 0.0207 0.0208 0.0209 0.0208 0.0208 0.0209 0.0209 0.0209 0.0209 0.0210 0.0210 0.0209 0.0208 0.6746 0.6675 0.6742 0.6806 0.6864 0.6924 0.7043,2019-11-11,
148994,c1600995,127,306,404,24 40814 0.0810 0.0284 0.0272 0.0268 0.0268 0.0268 0.0268 0.0269 0.0269 0.0268 0.0268 0.0268 0.0269 0.0268 0.0269 0.0268 0.7147 0.6730 0.6860 0.6974 0.7086 0.7241 0.7409,2019-11-11,
