ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"COMPLETIONDATE",4,,"1","N","DATE",,"Height Balanced",34665720,0,0,,,,False
"DEVICEID",1,,"4","N","NUMBER",,"Height Balanced",7538,0,0,,,,False
"FILEID",31,,,"Y","NUMBER",,"None",1660975,0,0,,,,False
"LOADDATE",32,,,"Y","DATE",,"None",1517522,0,0,,,,False
"LOGFIELD10",11,,,"Y","VARCHAR2 (40 Byte)",,"None",65686,0,2E-5,,,,False
"LOGFIELD11",12,,,"Y","VARCHAR2 (40 Byte)",,"None",65520,0,2E-5,,,,False
"LOGFIELD12",13,,,"Y","VARCHAR2 (40 Byte)",,"None",65804,0,2E-5,,,,False
"LOGFIELD13",14,,,"Y","VARCHAR2 (40 Byte)",,"None",65584,0,2E-5,,,,False
"LOGFIELD14",15,,,"Y","VARCHAR2 (40 Byte)",,"None",65580,0,2E-5,,,,False
"LOGFIELD15",16,,,"Y","VARCHAR2 (40 Byte)",,"None",65556,0,2E-5,,,,False
"LOGFIELD16",17,,,"Y","VARCHAR2 (40 Byte)",,"None",65572,0,2E-5,,,,False
"LOGFIELD17",18,,,"Y","VARCHAR2 (40 Byte)",,"None",65810,0,2E-5,,,,False
"LOGFIELD18",19,,,"Y","VARCHAR2 (40 Byte)",,"None",65806,0,2E-5,,,,False
"LOGFIELD19",20,,,"Y","VARCHAR2 (40 Byte)",,"None",65802,0,2E-5,,,,False
"LOGFIELD20",21,,,"Y","VARCHAR2 (40 Byte)",,"None",17,0,0.05882,,,,False
"LOGFIELD21",22,,,"Y","VARCHAR2 (40 Byte)",,"None",1363,0,0.00073,,,,False
"LOGFIELD22",23,,,"Y","VARCHAR2 (40 Byte)",,"None",2399,0,0.00042,,,,False
"LOGFIELD23",24,,,"Y","VARCHAR2 (40 Byte)",,"None",16696,0,6E-5,,,,False
"LOGFIELD24",25,,,"Y","VARCHAR2 (40 Byte)",,"None",48546,0,2E-5,,,,False
"LOGFIELD25",26,,,"Y","VARCHAR2 (40 Byte)",,"Height Balanced",48490,0,0.00019,,,,False
"LOGFIELD26",27,,,"Y","VARCHAR2 (40 Byte)",,"None",52876,0,2E-5,,,,False
"LOGFIELD27",28,,,"Y","VARCHAR2 (40 Byte)",,"None",60996,0,2E-5,,,,False
"LOGFIELD28",29,,,"Y","VARCHAR2 (40 Byte)",,"None",9553,0,0.0001,,,,False
"LOGFIELD29",30,,,"Y","NUMBER",,"Height Balanced",5514,0,0.00279,,,,False
"MODULEID",2,,"3","N","NUMBER",,"Frequency",1,0,0,,,,False
"MODULESNDRM",5,,,"N","VARCHAR2 (500 Byte)",,"Height Balanced",7112,0,0.00046,,,,False
"REPLICATEID",3,,"2","N","NUMBER",,"Height Balanced",36705792,0,0,,,,False
"RESULTBYTE3",7,,,"Y","VARCHAR2 (40 Byte)",,"Frequency",28,0,0,,,,False
"RESULTBYTE4",8,,,"Y","VARCHAR2 (40 Byte)",,"None",138,0,0.00725,,,,False
"RESULTBYTE5",9,,,"Y","VARCHAR2 (40 Byte)",,"Frequency",28,0,0,,,,False
"RESULTBYTE6",10,,,"Y","VARCHAR2 (40 Byte)",,"None",8,0,0.125,,,,False
"RESULTCODE",33,,,"Y","VARCHAR2 (8 Byte)",,"Frequency",12,0,0,,,,False
"RESULTCODEX",6,,,"Y","NUMBER",,"None",0,5710384254,0,,,,False
