MODULESNDRM,CUVETTETYPE,MAX(C4MIDDLE.FLAG_DATE),FLAGGED
"C460829","c4",6/19/2019 6:55:00 PM,0
"C400068","c4",6/19/2019 6:35:34 PM,0
"C461885","c4",6/19/2019 4:17:09 PM,0
"C461262","c4",6/19/2019 3:42:51 PM,0
"C460759","c4",6/18/2019 8:36:04 PM,0
"C401041","c4",6/19/2019 4:39:53 PM,0
"C401718","c4",6/19/2019 9:12:00 PM,0
"C496034","c4",6/19/2019 4:34:10 PM,0
"C401764","c4",6/19/2019 1:52:38 PM,0
"C400179","c4",6/19/2019 7:26:54 PM,0
"C402617","c4",6/19/2019 6:52:53 PM,0
"C401225","c4",6/19/2019 5:33:23 PM,0
"C402372","c4",6/19/2019 6:46:56 PM,0
"C400227","c4",6/19/2019 5:18:44 PM,0
"C401847","c4",6/19/2019 5:27:16 PM,0
"C461207","c4",6/18/2019 4:51:16 PM,0
"C401461","c4",6/19/2019 4:39:57 PM,0
"C402495","c4",6/19/2019 6:57:38 PM,0
"C401297","c4",6/19/2019 2:14:55 AM,0
"C400659","c4",6/19/2019 2:00:56 AM,0
"C400433","c4",6/19/2019 5:22:39 PM,0
"C461139","c4",6/18/2019 6:04:31 PM,0
"C461786","c4",6/18/2019 6:40:12 PM,0
"C460670","c4",6/19/2019 12:00:36 AM,0
"C401910","c4",6/19/2019 9:23:49 PM,0
"C402636","c4",6/19/2019 5:52:38 PM,0
"C400281","c4",6/19/2019 5:24:34 PM,0
"C400307","c4",6/19/2019 5:27:52 PM,0
"C402401","c4",6/19/2019 5:45:03 PM,0
"C402090","c4",6/19/2019 5:46:41 PM,0
"C460612","c4",6/18/2019 5:22:45 PM,0
"C460336","c4",6/18/2019 5:45:52 PM,0
"C485003","c4",6/19/2019 5:53:04 PM,0
"C461620","c4",6/19/2019 5:05:49 AM,0
"C461524","c4",6/19/2019 1:08:29 AM,0
"C401635","c4",6/18/2019 1:32:55 AM,0
"C401839","c4",6/18/2019 1:25:39 AM,0
"C402332","c4",6/18/2019 2:23:15 AM,0
"C460644","c4",6/19/2019 12:04:10 PM,0
"C460750","c4",6/19/2019 7:08:57 AM,0
"C401869","c4",6/19/2019 4:53:37 PM,0
"C402434","c4",6/17/2019 1:53:12 AM,0
"C460499","c4",6/19/2019 5:11:21 AM,0
"C460673","c4",6/18/2019 2:52:13 PM,0
"C460185","c4",6/19/2019 7:06:29 AM,0
"C461616","c4",6/19/2019 7:08:34 AM,0
"C402461","c4",6/19/2019 6:51:36 PM,0
"C460732","c4",6/18/2019 4:50:15 PM,0
"C496024","c4",6/19/2019 4:08:09 PM,0
"C401444","c4",6/18/2019 1:23:01 AM,0
"C400847","c4",6/18/2019 12:22:21 AM,0
"C401621","c4",6/18/2019 1:56:33 AM,0
"C401602","c4",6/18/2019 1:19:15 AM,0
"C400459","c4",6/19/2019 9:40:56 AM,0
"C400425","c4",6/19/2019 10:50:42 AM,0
"C402241","c4",6/19/2019 5:01:47 PM,0
"C402181","c4",6/19/2019 8:36:31 AM,0
"C460708","c4",6/18/2019 4:06:29 PM,0
"C401417","c4",6/18/2019 1:40:23 AM,0
"C401552","c4",6/18/2019 1:29:32 AM,0
"C460268","c4",6/19/2019 10:39:39 AM,0
"C400755","c4",6/18/2019 1:44:17 AM,0
"C461475","c4",6/18/2019 2:21:07 PM,0
"C401157","c4",6/19/2019 7:43:21 AM,0
"C460933","c4",6/19/2019 12:03:57 PM,0
"C400664","c4",6/17/2019 6:39:35 PM,0
"C401871","c4",6/19/2019 6:40:00 PM,0
"C402125","c4",6/19/2019 8:45:37 AM,0
"C460219","c4",6/19/2019 6:40:47 AM,0
"C401490","c4",6/17/2019 10:51:56 PM,0
"C461443","c4",6/19/2019 5:05:31 PM,0
"C402042","c4",6/18/2019 12:28:42 AM,0
"C401924","c4",6/19/2019 6:48:14 PM,0
"C401897","c4",6/18/2019 1:23:06 AM,0
"C461420","c4",6/18/2019 5:36:49 PM,0
"C460969","c4",6/19/2019 4:07:01 AM,0
"C461115","c4",6/18/2019 6:53:47 PM,0
"C400526","c4",6/19/2019 10:38:48 AM,0
"C401374","c4",6/19/2019 10:39:18 AM,0
"C461720","c4",6/18/2019 6:23:36 PM,0
"C401817","c4",6/17/2019 1:24:41 PM,0
"C400396","c4",6/19/2019 5:42:26 PM,0
"C400203","c4",6/19/2019 4:31:31 PM,0
"C460617","c4",6/19/2019 5:32:52 PM,0
"C461646","c4",6/19/2019 3:53:16 AM,0
"C402008","c4",6/18/2019 12:03:57 AM,0
"C402055","c4",6/16/2019 10:40:26 PM,0
"C400612","c4",6/14/2019 3:00:40 PM,0
"C402412","c4",6/16/2019 11:58:32 PM,0
"C401587","c4",6/18/2019 12:23:40 AM,0
"C401063","c4",6/18/2019 1:36:47 AM,0
"C400832","c4",6/19/2019 4:32:03 PM,0
"C402417","c4",6/17/2019 12:41:58 AM,0
"C402078","c4",6/18/2019 1:24:03 AM,0
"C400683","c4",6/17/2019 4:37:40 PM,0
"C402455","c4",6/18/2019 2:07:31 AM,0
"C402480","c4",6/18/2019 2:34:26 AM,0
"C402002","c4",6/19/2019 5:18:55 PM,0
"C401305","c4",6/19/2019 4:33:49 PM,0
"C401132","c4",6/19/2019 6:41:22 PM,0
"C401707","c4",6/17/2019 8:16:42 PM,0
"C401803","c4",6/19/2019 6:44:53 PM,0
"C401664","c4",6/17/2019 1:35:47 AM,0
"C400681","c4",6/16/2019 9:57:22 PM,0
"C400753","c4",6/18/2019 2:04:33 AM,0
"C461553","c4",6/17/2019 5:40:44 PM,0
"C400271","c4",6/19/2019 1:20:01 PM,0
"C461783","c4",6/18/2019 2:31:12 PM,0
"C402355","c4",6/17/2019 7:08:42 PM,0
"C460410","c4",6/19/2019 4:24:28 AM,0
"C402151","c4",6/19/2019 10:31:43 AM,0
"C402576","c4",6/17/2019 10:40:05 PM,0
"C402391","c4",6/18/2019 5:14:32 PM,0
"C401837","c4",6/18/2019 1:59:25 AM,0
"C401251","c4",6/17/2019 9:02:34 PM,0
"C402050","c4",6/17/2019 9:47:35 PM,0
"C401269","c4",6/19/2019 6:12:12 PM,0
"C401039","c4",6/19/2019 1:18:21 PM,0
"C461036","c4",6/19/2019 11:58:23 AM,0
"C460462","c4",6/19/2019 10:31:44 AM,0
"C461456","c4",6/19/2019 4:35:29 PM,0
"C460823","c4",6/19/2019 11:28:00 AM,0
"C460919","c4",6/19/2019 7:55:10 PM,0
"C460226","c4",6/19/2019 2:14:09 AM,0
"C460935","c4",6/19/2019 11:40:14 AM,0
"C400263","c4",6/19/2019 5:35:48 PM,0
"C401471","c4",6/19/2019 3:41:41 PM,0
"C401124","c4",6/19/2019 3:52:36 PM,0
"C400944","c4",6/19/2019 5:04:43 PM,0
"C401630","c4",6/19/2019 6:31:35 PM,0
"C401790","c4",6/19/2019 2:06:35 PM,0
"C402259","c4",6/19/2019 6:33:29 PM,0
"C461368","c4",6/19/2019 12:15:38 PM,0
"C400128","c4",6/19/2019 5:12:57 PM,0
"C461244","c4",6/19/2019 5:48:27 PM,0
"C461809","c4",6/18/2019 4:51:41 PM,0
"C400131","c4",6/19/2019 5:03:34 PM,0
"C401893","c4",6/19/2019 5:15:13 PM,0
"C401679","c4",6/19/2019 4:47:23 PM,0
"C402156","c4",6/19/2019 4:52:03 PM,0
"C402264","c4",6/19/2019 3:47:55 PM,0
"C461339","c4",6/15/2019 5:52:20 PM,0
"C461376","c4",6/19/2019 11:55:37 AM,0
"C402662","c4",6/17/2019 12:26:07 AM,0
"C401208","c4",6/14/2019 5:00:03 PM,0
"C461569","c4",6/19/2019 5:05:36 PM,0
"C460820","c4",6/17/2019 9:27:36 AM,0
"C402692","c4",6/13/2019 4:24:51 PM,0
"C402389","c4",6/19/2019 5:27:05 PM,0
"C461284","c4",6/19/2019 1:10:32 AM,0
"C460799","c4",6/19/2019 4:06:27 AM,0
"C401825","c4",6/18/2019 12:37:48 AM,0
"C461585","c4",6/18/2019 2:11:04 PM,0
"C460771","c4",6/19/2019 5:16:08 AM,0
"C461652","c4",6/19/2019 3:39:38 AM,0
"C401701","c4",6/19/2019 10:39:23 AM,0
"C461082","c4",6/18/2019 3:53:39 PM,0
"C402680","c4",6/19/2019 6:57:16 PM,0
"C400656","c4",6/19/2019 10:03:27 AM,0
"C400234","c4",6/19/2019 6:05:20 PM,0
"C402488","c4",6/17/2019 5:05:33 PM,0
"C401608","c4",6/17/2019 6:52:12 PM,0
"C461760","c4",6/19/2019 2:08:53 PM,0
"C401056","c4",6/18/2019 1:41:18 AM,0
"C461674","c4",6/18/2019 6:06:37 PM,0
