MODULESN,PIPETTER,FLAG_DATE
"I1SR01779","I1",10/18/2019 12:05:50 PM
"I1SR01950","I1",10/18/2019 1:28:14 PM
"I1SR02069","I1",10/18/2019 11:53:21 AM
"I1SR02095","I1",10/18/2019 1:07:46 PM
"I1SR02119","I1",10/18/2019 1:24:01 PM
"I1SR02969","I1",10/17/2019 1:44:44 PM
"I1SR03261","I1",10/18/2019 11:36:51 AM
"I1SR03418","I1",10/18/2019 11:08:00 AM
"I1SR04037","I1",10/18/2019 8:11:12 AM
"I1SR50031","I1",10/18/2019 10:16:25 AM
"I1SR50161","I1",10/18/2019 12:39:17 PM
"I1SR50458","I1",10/18/2019 1:08:13 PM
"I1SR50469","I1",10/17/2019 3:09:05 PM
"I1SR51361","I1",10/17/2019 4:13:39 PM
"I1SR52676","I1",10/18/2019 9:04:36 AM
"I1SR52684","I1",10/17/2019 9:46:22 PM
"I1SR53352","I1",10/18/2019 9:36:53 AM
"I1SR53366","I1",10/18/2019 12:59:38 PM
"I1SR54581","I1",10/18/2019 10:11:12 AM
"I1SR54590","I1",10/18/2019 1:16:34 PM
"I1SR54737","I1",10/17/2019 8:00:44 PM
"I1SR54838","I1",10/18/2019 1:22:20 PM
"I1SR56676","I1",10/18/2019 1:05:39 PM
"I1SR60323","I1",10/18/2019 10:13:37 AM
"I201491","R2",10/18/2019 1:28:36 PM
"I201620","R2",10/17/2019 10:28:29 PM
"I201620","SAMP",10/17/2019 10:07:39 PM
"I201767","SAMP",10/17/2019 3:53:24 PM
"I202245","R1",10/17/2019 9:28:13 PM
"I202363","R1",10/18/2019 10:36:15 AM
"ISR02008","R2",10/18/2019 11:56:04 AM
"ISR02140","R1",10/17/2019 1:58:01 PM
"ISR02185","SAMP",10/18/2019 1:27:50 PM
"ISR02239","R2",10/18/2019 1:28:43 PM
"ISR02250","SAMP",10/17/2019 8:50:26 PM
"ISR02287","R2",10/17/2019 9:55:35 PM
"ISR02289","R2",10/18/2019 12:27:02 PM
"ISR02314","R1",10/18/2019 12:18:01 PM
"ISR02315","SAMP",10/17/2019 10:31:26 PM
"ISR02426","R1",10/17/2019 10:18:36 PM
"ISR02720","STATSAMP",10/17/2019 10:16:21 PM
"ISR02885","SAMP",10/18/2019 1:20:21 PM
"ISR03020","R2",10/18/2019 1:20:37 PM
"ISR03218","R2",10/17/2019 11:27:41 PM
"ISR03254","R2",10/18/2019 1:24:55 PM
"ISR03279","R1",10/18/2019 9:27:21 AM
"ISR03373","STATSAMP",10/18/2019 1:14:14 PM
"ISR03616","STATSAMP",10/17/2019 9:23:51 PM
"ISR03800","R2",10/18/2019 10:17:07 AM
"ISR04071","SAMP",10/17/2019 6:28:54 PM
"ISR04126","R1",10/18/2019 12:59:09 PM
"ISR04227","R2",10/18/2019 12:11:57 AM
"ISR04591","R1",10/18/2019 1:16:00 PM
"ISR04650","R1",10/18/2019 1:26:13 PM
"ISR04710","R1",10/18/2019 1:28:44 PM
"ISR04728","SAMP",10/18/2019 12:36:25 PM
"ISR04745","R1",10/18/2019 10:49:59 AM
"ISR04749","SAMP",10/17/2019 6:35:02 PM
"ISR04814","SAMP",10/18/2019 1:25:57 PM
"ISR04966","R2",10/17/2019 10:04:08 PM
"ISR05241","R2",10/18/2019 12:12:28 AM
"ISR05315","R1",10/17/2019 11:10:28 PM
"ISR05628","R2",10/17/2019 7:26:13 PM
"ISR06036","SAMP",10/18/2019 12:52:27 PM
"ISR06126","SAMP",10/18/2019 1:19:33 PM
"ISR06293","R2",10/18/2019 1:24:16 PM
"ISR06330","R1",10/18/2019 11:15:35 AM
"ISR06376","R1",10/17/2019 11:06:06 PM
"ISR06400","STATSAMP",10/18/2019 2:44:45 AM
"ISR06812","SAMP",10/18/2019 12:31:33 PM
"ISR06853","R1",10/18/2019 10:31:00 AM
"ISR07032","SAMP",10/18/2019 1:28:11 PM
"ISR07071","R1",10/17/2019 6:22:16 PM
"ISR07122","R2",10/18/2019 12:36:22 PM
"ISR07125","STATSAMP",10/18/2019 10:16:53 AM
"ISR07153","SAMP",10/17/2019 3:54:01 PM
"ISR07157","R2",10/18/2019 1:09:23 PM
"ISR07480","SAMP",10/18/2019 9:08:59 AM
"ISR07866","SAMP",10/18/2019 1:24:18 PM
"ISR08020","SAMP",10/18/2019 10:35:27 AM
"ISR08112","R2",10/18/2019 11:17:16 AM
"ISR50034","R2",10/18/2019 1:28:45 PM
"ISR50074","SAMP",10/18/2019 10:35:24 AM
"ISR50229","R1",10/18/2019 11:12:01 AM
"ISR50275","R2",10/17/2019 2:34:27 PM
"ISR50378","SAMP",10/18/2019 9:42:56 AM
"ISR50466","R1",10/17/2019 6:43:19 PM
"ISR50651","SAMP",10/18/2019 12:35:28 PM
"ISR50820","R1",10/18/2019 12:57:16 PM
"ISR50862","R2",10/18/2019 5:35:15 AM
"ISR50866","SAMP",10/18/2019 1:14:18 PM
"ISR50945","R1",10/18/2019 1:16:56 PM
"ISR51040","SAMP",10/18/2019 12:49:46 PM
"ISR51177","SAMP",10/18/2019 11:44:41 AM
"ISR51238","R1",10/18/2019 10:25:58 AM
"ISR51256","R1",10/18/2019 1:24:14 PM
"ISR51282","R2",10/18/2019 1:28:38 PM
"ISR51469","STATSAMP",10/18/2019 2:45:47 AM
"ISR51537","STATSAMP",10/18/2019 1:19:30 PM
"ISR51545","STATSAMP",10/18/2019 12:23:18 PM
"ISR51728","R1",10/18/2019 11:39:03 AM
"ISR51918","R1",10/18/2019 11:48:51 AM
"ISR51967","STATSAMP",10/18/2019 8:53:22 AM
"ISR52053","SAMP",10/18/2019 2:06:13 AM
"ISR52202","R2",10/18/2019 1:14:32 PM
"ISR52552","R2",10/18/2019 12:49:14 PM
"ISR52562","R2",10/18/2019 2:52:40 AM
"ISR52607","SAMP",10/18/2019 1:24:30 PM
"ISR52621","R2",10/18/2019 12:49:07 PM
"ISR52718","R2",10/18/2019 12:44:06 PM
"ISR52760","SAMP",10/17/2019 11:48:03 PM
"ISR53201","R1",10/18/2019 12:04:01 AM
"ISR53374","SAMP",10/18/2019 1:28:45 PM
"ISR53687","SAMP",10/18/2019 8:27:43 AM
"ISR53824","R2",10/18/2019 11:48:39 AM
"ISR53863","R2",10/18/2019 1:28:43 PM
"ISR54048","R2",10/17/2019 4:11:39 PM
"ISR54374","R1",10/18/2019 1:22:29 PM
"ISR55293","R2",10/17/2019 5:18:41 PM
"ISR55352","SAMP",10/18/2019 9:10:41 AM
"ISR55714","STATSAMP",10/18/2019 1:26:52 PM
