ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"BEGINDATEDATA",9,,,"Y","DATE",,"None",70328320,151956915,0,,,,False
"BEGINDATEDATAB4DELETE",11,,,"Y","DATE",,"None",61591552,102445579,0,,,,False
"DATATYPE",19,,,"Y","VARCHAR2 (4000 Byte)",,"Frequency",18,35970013,0,,,,False
"ENDDATEDATA",10,,,"Y","DATE",,"None",74768384,151956915,0,,,,False
"ENDDATEDATAB4DELETE",12,,,"Y","DATE",,"None",75472896,102445579,0,,,,False
"ERRORCODE",13,,,"Y","VARCHAR2 (4000 Byte)",,"Height Balanced",88264,296246858,0.00249,,,,False
"FILEID",1,,"1","N","NUMBER",,"Height Balanced",43773952,0,9E-5,,,,False
"FILENAME",3,,,"Y","VARCHAR2 (4000 Byte)",,"Height Balanced",3248896,0,0.00013,,,,False
"FILESTRUCTURE",2,,,"Y","VARCHAR2 (4000 Byte)",,"Height Balanced",27086848,3449,0.00013,,,,False
"FUTURERECORDCOUNT",16,,,"Y","NUMBER",,"None",2347,0,0.00043,,,,False
"INVALIDRECORDCOUNT",18,,,"Y","NUMBER",,"None",858,0,0.00117,,,,False
"LINESREAD",8,,,"Y","NUMBER",,"Height Balanced",218496,0,0.00017,,,,False
"LOADENDTIME",5,,,"Y","DATE",,"None",64622592,35969976,0,,,,False
"LOADSECONDS",6,,,"Y","NUMBER",,"Height Balanced",375552,0,0.00039,,,,False
"LOADSTARTTIME",4,,,"Y","DATE",,"None",64167936,0,0,,,,False
"LOGDETAILID",14,,,"Y","NUMBER",,"None",295731200,0,0,,,,False
"PASTRECORDCOUNT",15,,,"Y","NUMBER",,"Height Balanced",35576,0,0.0002,,,,False
"PROCESSCODE",20,,,"Y","VARCHAR2 (10 Byte)",,"Frequency",7,0,0,,,,False
"RECORDSCREATED",7,,,"Y","NUMBER",,"Height Balanced",50584,0,0.00062,,,,False
"VALIDRECORDCOUNT",17,,,"Y","NUMBER",,"Height Balanced",50876,0,0.00056,,,,False
