SQL Statement which produced this data:
  select 
      *
  from 
      svc_phm_owner.phm_threshold_parameter;

PHM_THR_PAR_SK,PHM_D_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PARAMETER_GROUP_NAME,PARAMETER_NAME,PARAMETER_VALUES,DELETE_FLAG,APP_AUDITS_CREATE_USER,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_USER,APP_AUDITS_MODIFY_DATE
11734,20190,20191,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Process Path Jams 5756","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11735,20190,20191,"PROCPATHJAMS_THRESHOLD","IHN_LEVEL3_DESC","Alinity IA Process Path Jams 5756","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11736,20190,20191,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMCODE","5756","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11737,20190,20191,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMSUBCODE","D298","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11738,20190,20191,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRESULTS","10","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11739,20190,20191,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRETRIES","8","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11740,20190,20191,"PROCPATHJAMS_THRESHOLD","THRESHOLDS_COUNT","1","N","CHANDSN","6/29/2018 1:26:51.000000 PM","CHANDSN","9/11/2018 2:01:21.000000 PM"
11741,20191,20192,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Pretreat Path Jams 5756","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11742,20191,20192,"PROCPATHJAMS_THRESHOLD","IHN_LEVEL3_DESC","Alinity IA Pretreat Path Jams 5756","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11743,20191,20192,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMCODE","5756","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11744,20191,20192,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMSUBCODE","D299","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11745,20191,20192,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRESULTS","10","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11746,20191,20192,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRETRIES","8","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11747,20191,20192,"PROCPATHJAMS_THRESHOLD","THRESHOLDS_COUNT","1","N","CHANDSN","6/29/2018 1:40:35.000000 PM","CHANDSN","9/11/2018 2:01:56.000000 PM"
11748,20192,20193,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Process Path Jams 5758","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11749,20192,20193,"PROCPATHJAMS_THRESHOLD","IHN_LEVEL3_DESC","Alinity IA Process Path Jams 5758","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
