PHM_ALGORITHM_DEFINITIONS_SK,PHM_ALGORITHM_CATEGORIES_SK,ALGORITHM_NUMBER,ALGORITHM_NAME,ALGORITHM_COMMAND,ALGORITHM_DESCRIPTION,ALGORITHM_OWNER,SQL_CODE_COMMAND,SQL_DESCRIPTION,PROACTIVE_YN,REMAINING_USEFUL_LIFE_INT,REMAINING_USEFUL_LIFE_UNIT,KEEP_RESULTS_NUM_DAYS,ENABLED_YN,AREA_OF_TRACK,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,PHM_PROD_FAMILY_SK,ALGORITHM_TYPE,ALGORITHM_MODE,NEW_REC,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE
1140,81,27,"AbbottLink Disconnect IA",,"AbbottLink Disconnect Algorithm for IA instruments. Generates PHN00066 if instrument is disconnected from AbbottLink for more than 72 hours","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5001,,,"Y","N","5/3/2017 1:33:18.000000 PM","2/11/2018 11:31:19.000000 PM"
1141,82,28,"AbbottLink Disconnect CC",,"AbbottLink Disconnect Algorithm for CC instruments. Generates PHN00066 if instrument is disconnected from AbbottLink for more than 72 hours","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","5/3/2017 1:37:40.000000 PM","2/12/2018 12:01:06.000000 AM"
1380,81,44,"APA IA Generic Algorithm",,"Generic template for APA IA algorithm group","KHANDMX5",,,,3,"3 days",14,"N",,"CHANDSN","KHANDMX5",5001,,,"Y","N","2/11/2018 10:36:57.000000 PM","10/5/2018 2:13:16.000000 PM"
1381,82,45,"APA CC Generic Algorithm",,"Generic template for APA CC algorithm group","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","2/11/2018 11:42:50.000000 PM","6/30/2018 9:35:32.000000 PM"
1220,161,32,"CC Cuvette LLS Board",,"CC Cuvette LLS Board","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:23:13.000000 AM","1/14/2018 12:37:01.000000 PM"
1221,161,33,"CC Cuvette Wash Subassembly",,"CC Cuvette Wash Subassembly","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:27:46.000000 AM","1/14/2018 12:38:41.000000 PM"
1222,161,34,"CC Cuvette Status Check - Broken Cuvette",,"CC Cuvette Status Check - Broken Cuvette","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5000,,,"Y","N","6/15/2017 11:31:59.000000 AM","1/14/2018 12:37:54.000000 PM"
20190,221,166,"Alinity IA Process Path Jams 5756",,"To detect a buildup of process path retries (AimCode: 5756) before the customer begins experiencing process path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:26:51.000000 PM","9/11/2018 2:01:21.000000 PM"
20191,221,167,"Alinity IA Pretreat Path Jams 5756",,"To detect a buildup of process path retries (AimCode: 5756) before the customer begins experiencing pretreatment path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:40:35.000000 PM","9/11/2018 2:01:56.000000 PM"
20192,221,168,"Alinity IA Process Path Jams 5758",,"To detect a buildup of process path retries (AimCode: 5758) before the customer begins experiencing process path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 1:53:39.000000 PM","9/11/2018 2:02:33.000000 PM"
20193,221,169,"Alinity IA Pretreat Path Jams 5758",,"Detect a buildup of process path retries (AimCode: 5758) before the customer begins experiencing pretreatment path jams (AIM CODE: 5752 or 5757).","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 2:03:28.000000 PM","9/11/2018 2:02:52.000000 PM"
20194,222,164,"Alinity APA IA Generic Algorithm",,"Generic algorithm(template) for Alinity APA IA algorithm group","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/29/2018 2:27:18.000000 PM","6/30/2018 9:38:09.000000 PM"
1060,22,6,"APS Algorithm",,"APS Algorithm","CHANDSN",,,,5,"5 days",14,"N",,"JOYSX1","CHANDSN",5002,,,"Y","N","10/9/2016 9:57:46.000000 AM","1/13/2018 8:29:06.000000 PM"
