ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"APP_AUDITS_CREATE_DATE",11,,,"Y","TIMESTAMP(6)",,"None",218,0,0.00459,,,,False
"APP_AUDITS_CREATE_USER",6,,,"N","VARCHAR2 (50 Char)",,"None",12,0,0.08333,,,,False
"APP_AUDITS_MODIFY_DATE",12,,,"Y","TIMESTAMP(6)",,"None",361,0,0.00277,,,,False
"APP_AUDITS_MODIFY_USER",7,,,"N","VARCHAR2 (50 Char)",,"None",5,0,0.2,,,,False
"DELETE_FLAG",10,,,"Y","CHAR (1 Char)","'N'","Frequency",1,0,0.00075,,,,False
"IHN_CODE",4,,,"Y","VARCHAR2 (200 Char)",,"Frequency",191,8,0.00076,,,,False
"IHN_LEVEL_1_DESCRIPTION",5,,,"Y","VARCHAR2 (2000 Char)",,"None",4,467,0.25,,,,False
"IHN_LEVEL_2_DESCRIPTION",8,,,"Y","VARCHAR2 (2000 Char)",,"None",42,467,0.02381,,,,False
"IHN_LEVEL_3_DESCRIPTION",9,,,"Y","VARCHAR2 (2000 Char)",,"None",0,667,0,,,,False
"ISSUE_DESCRIPTION",13,,,"Y","VARCHAR2 (250 Byte)",,"None",333,334,0.003,,,,False
"PHM_ALGORITHM_DEFINITIONS_SK",2,,,"N","INTEGER",,"Frequency",162,0,0.00075,,,,False
"PHM_ALGORITHM_IHN_SK",1,1,"1","N","INTEGER",,"Height Balanced",733,0,0.00136,,,,False
"PHM_PATTERNS_SK",3,,,"N","INTEGER",,"Height Balanced",667,0,0.0015,,,,False
