PHM_ALGORITHM_ROUTINE_SK,PHM_PATTERNS_SK,PHM_PRODUCT_ROUTINE_SK,PHM_REUSABLE_ROUTINE_SK,ROUTINE_TYPE,ROUTINE_NAME,ROUTINE_DESCRIPTION,RUN_MODE,ROUTINE_FILE_NAME,ROUTINE_INVOKE_COMMAND,MIME_TYPE,REQUEST_DEPLOY,LAST_DEPLOYED_DATE,REQUESTED_USER,PROCEDURE_SOURCE,DEPLOYED_USER,DEPLOYMENT_LOG,DEPLOYED_DATE,DEPLOYMENT_STATUS,LAST_DEPLOYMENT_STATUS,ENABLE_YN,DELETE_FLAG,APP_AUDITS_CREATE_USER,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_USER,APP_AUDITS_MODIFY_DATE
8239,20471,,7640,"Oracle Procedure","APA_5503_Washzone 1 Dispense Pump","APA_5503_Washzone 1 Dispense Pump","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","LIJX8","6/11/2019 6:45:11.000000 PM","LIJX8","7/24/2019 6:27:10.000000 PM"
8244,20472,,7640,"Oracle Procedure","APA_5503_Washzone 2 Dispense Pump","APA_5503_Washzone 2 Dispense Pump","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","LIJX8","6/11/2019 6:59:10.000000 PM","LIJX8","7/24/2019 6:28:02.000000 PM"
8258,20473,,7640,"Oracle Procedure","APA_5503_Trigger Pump","APA_5503_Trigger Pump(115,116)","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","LIJX8","6/11/2019 7:25:28.000000 PM","LIJX8","7/24/2019 6:29:12.000000 PM"
8260,20474,,7640,"Oracle Procedure","APA_5503_Trigger Pump_117","APA_5503_Trigger Pump(117)","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","LIJX8","6/11/2019 7:27:43.000000 PM","LIJX8","7/24/2019 6:29:35.000000 PM"
6644,10401,,,"Oracle Procedure","APA IA Generic Algorithm","Generic template for APA IA algorithm group","Real Time","PHM_APA_IA_ALGORITHM.sql","PHM_APA_IA_ALGORITHM","application/octet-stream",,"6/30/2018 9:35:48.000000 PM",,"Define Reusable Routine","KHANDMX5","Success","10/5/2018 2:13:26.000000 PM","Success","Success","N","N","CHANDSN","2/11/2018 10:36:57.000000 PM","KHANDMX5","10/5/2018 2:13:26.000000 PM"
6673,10402,,,"Oracle Procedure","APA CC Generic Algorithm","Generic template for APA CC algorithm group","Real Time","PHM_APA_CC_ALGORITHM.sql","PHM_APA_CC_ALGORITHM","application/octet-stream",,"3/29/2018 2:26:48.000000 PM",,"Define Reusable Routine","CHANDSN","Success","6/30/2018 9:35:51.000000 PM","Success","Success","N","N","CHANDSN","2/11/2018 11:42:50.000000 PM","CHANDSN","6/30/2018 9:35:51.000000 PM"
7781,20331,5183,,"Oracle Procedure","Alinity s AbbottLink Disconnect","To detect AbbottLink connectivity loss of greater than or equal to 3 days.","Real Time","PHM_ALINITY_S_AL_DISC_ALG.sql","PHM_ALINITY_S_AL_DISC_ALG","application/octet-stream",,"11/15/2018 6:55:37.000000 AM",,"Define New Routine","CHANDSN","Success","11/15/2018 12:43:03.000000 PM","Success","Success","Y","N","CHANDSN","11/15/2018 6:49:45.000000 AM","CHANDSN","11/15/2018 12:43:41.000000 PM"
5148,188,,,,"Automated Refrigerator Barrier Failure SRM 0F8C","SRM:0F8C","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 11:25:40.000000 AM","CHANDSN","3/7/2018 2:52:40.000000 PM"
5131,261,5000,,"Oracle Procedure","APS Algorithm","APS Algorithm","Batch","PHM_APS_Algorithm_v4_Release.sql","PHM_APS","application/octet-stream",,"10/9/2016 10:50:15.000000 AM",,"Define New Routine","CHANDSN","Success","1/13/2018 8:29:20.000000 PM","Success",,"Y","N","JOYSX1","10/9/2016 9:57:46.000000 AM","CHANDSN","1/13/2018 8:31:11.000000 PM"
5139,262,5002,,"Oracle Procedure","PATTERNA","ALGORITHM FOR WAM PATTERN A","Batch","PHM_WAM_A_PROD_31Jul2019.sql","PHM_WAM_A","application/octet-stream",,"3/2/2018 3:06:37.000000 PM",,"Define New Routine","CHANDSN","Success","7/31/2019 4:28:30.000000 PM","Success","Success","Y","N","JOYSX1","10/9/2016 11:06:57.000000 AM","CHANDSN","7/31/2019 4:29:05.000000 PM"
5143,263,5002,,"Oracle Procedure","PATTERNB","PATTERN B ALGORITHM FOR WAM","Batch","PHM_WAM_B_PROD_31Jul2019.sql","PHM_WAM_B","application/octet-stream",,"3/2/2018 3:06:41.000000 PM",,"Define New Routine","CHANDSN","Success","7/31/2019 4:27:10.000000 PM","Success","Success","Y","N","JOYSX1","10/9/2016 11:16:36.000000 AM","CHANDSN","7/31/2019 4:29:08.000000 PM"
5150,198,,,,"Automation Carrier with Routing Error at Output Gate ISR 504D","ISR:504D","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 11:30:47.000000 AM","CHANDSN","11/23/2016 6:03:16.000000 AM"
5146,264,5002,,"Oracle Procedure","PATTERNC","PATTERN C ALGORITHM FOR WAM","Batch","PHM_WAM_C_PROD_31Jul2019.sql","PHM_WAM_C","application/octet-stream",,"3/2/2018 3:06:45.000000 PM",,"Define New Routine","CHANDSN","Success","7/31/2019 4:25:01.000000 PM","Success","Success","N","N","JOYSX1","10/9/2016 11:36:48.000000 AM","CHANDSN","7/31/2019 4:25:01.000000 PM"
5152,210,,,,"Automation Carrier with Routing Error at Priority Input Gate ISR 504F","ISR:504F","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 11:36:54.000000 AM","CHANDSN","11/23/2016 6:02:42.000000 AM"
5154,265,5003,,"Oracle Procedure","FEP","FEP ALGORITHM","Batch","PHM_FE_PRESSURE_V4_13Oct2017.sql","PHM_FE_PRESSURE","application/octet-stream",,"10/10/2016 3:47:18.000000 AM",,"Define New Routine","CHANDSN","Success","1/13/2018 9:11:02.000000 PM","Success","Success","Y","N","JOYSX1","10/9/2016 11:52:54.000000 AM","CHANDSN","1/13/2018 9:12:10.000000 PM"
5157,215,,,,"Automation Carrier with Routing Error at Return Gate ISR 504C","ISR:504C","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 11:59:39.000000 AM","CHANDSN","11/23/2016 6:10:46.000000 AM"
5162,266,5004,,"Oracle Procedure","DARK_COUNT","DARK_COUNT","Batch","PHM_DARK_COUNT_V4_15Feb2018.sql","PHM_DARK_COUNT","application/octet-stream",,"1/13/2018 9:07:48.000000 PM",,"Define New Routine","CHANDSN","Success","2/15/2018 10:47:04.000000 AM","Success","Success","Y","N","JOYSX1","10/9/2016 12:03:22.000000 PM","CHANDSN","2/15/2018 10:47:55.000000 AM"
5164,218,,,,"Automation Carrier with Routing Error at Routine Input Gate ISR 504E","ISR:504E","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:03:52.000000 PM","CHANDSN","11/23/2016 5:59:21.000000 AM"
5168,203,,,,"Axes X And Y Moving Fault Recovery has Failed CM 069F","CM:069F","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:06:52.000000 PM","CHANDSN","11/23/2016 6:03:22.000000 AM"
