ColumnName,ColID,PK,IndexPos,Null,DataType,Default,Histogram,NumDistinct,NumNulls,Density,EncryptionAlg,Salt,Trigger,Virtual
"APP_AUDITS_CREATE_DATE",25,,,"Y","TIMESTAMP(6)",,"None",345,0,0.0029,,,,False
"APP_AUDITS_CREATE_USER",24,,,"Y","VARCHAR2 (50 Char)",,"None",9,0,0.11111,,,,False
"APP_AUDITS_MODIFY_DATE",27,,,"Y","TIMESTAMP(6)",,"None",361,0,0.00277,,,,False
"APP_AUDITS_MODIFY_USER",26,,,"Y","VARCHAR2 (50 Char)",,"None",5,0,0.2,,,,False
"DELETE_FLAG",23,,,"Y","CHAR (1 Char)","'N'","Frequency",1,0,0.00075,,,,False
"DEPLOYED_DATE",19,,,"Y","TIMESTAMP(6)",,"None",26,613,0.03846,,,,False
"DEPLOYED_USER",17,,,"Y","VARCHAR2 (100 Char)",,"Frequency",1,613,0.00926,,,,False
"DEPLOYMENT_LOG",18,,,"Y","VARCHAR2 (4000 Char)",,"None",1,613,1,,,,False
"DEPLOYMENT_STATUS",20,,,"Y","VARCHAR2 (50 Char)",,"None",1,613,1,,,,False
"ENABLE_YN",22,,,"Y","CHAR (1 Char)","'N'","Frequency",2,0,0.00075,,,,False
"LAST_DEPLOYED_DATE",14,,,"Y","TIMESTAMP(6)",,"None",17,650,0.05882,,,,False
"LAST_DEPLOYMENT_STATUS",21,,,"Y","VARCHAR2 (100 Char)",,"None",1,653,1,,,,False
"MIME_TYPE",12,,,"Y","VARCHAR2 (250 Char)",,"None",2,643,0.5,,,,False
"PHM_ALGORITHM_ROUTINE_SK",1,,,"Y","NUMBER (38)",,"None",667,0,0.0015,,,,False
"PHM_PATTERNS_SK",2,,,"Y","NUMBER (38)",,"Height Balanced",667,0,0.0015,,,,False
"PHM_PRODUCT_ROUTINE_SK",3,,,"Y","NUMBER",,"Frequency",17,517,0.00333,,,,False
"PHM_REUSABLE_ROUTINE_SK",4,,,"Y","NUMBER",,"Frequency",8,543,0.00403,,,,False
"PROCEDURE_SOURCE",16,,,"Y","VARCHAR2 (100 Char)",,"Frequency",3,0,0.00075,,,,False
"REQUEST_DEPLOY",13,,,"Y","CHAR (1 Char)",,"None",0,667,0,,,,False
"REQUESTED_USER",15,,,"Y","VARCHAR2 (12 Char)",,"None",0,667,0,,,,False
"ROUTINE_DESCRIPTION",7,,,"Y","VARCHAR2 (2000 Char)",,"None",655,0,0.00153,,,,False
"ROUTINE_FILE_CONTENT",10,,"1","Y","BLOB",,"None",0,613,0,,,,False
"ROUTINE_FILE_NAME",9,,,"Y","VARCHAR2 (500 Char)",,"None",24,643,0.04167,,,,False
"ROUTINE_INVOKE_COMMAND",11,,,"Y","VARCHAR2 (100 Char)",,"Frequency",24,509,0.00316,,,,False
"ROUTINE_NAME",6,,,"Y","VARCHAR2 (200 Byte)",,"Height Balanced",667,0,0.00182,,,,False
"ROUTINE_TYPE",5,,,"Y","VARCHAR2 (100 Char)",,"Frequency",1,507,0.00313,,,,False
"RUN_MODE",8,,,"Y","VARCHAR2 (25 Char)",,"None",2,0,0.5,,,,False
